Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Education,"Educational Attainment","Percent high school graduate or higher",93.8,(+/-0.7),92.1,(+/-0.7),87.7,(+/-0.9),90.2,(+/-0.8),90.3,(+/-0.8),88.7,(+/-0.9),90.4,(+/-0.8)
Education,"Educational Attainment","Percent bachelor's degree or higher",43.3,(+/-1.5),37.0,(+/-1.2),26.3,(+/-1.2),36.7,(+/-1.4),30.5,(+/-1.5),29.2,(+/-1.3),25.1,(+/-1.0)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","190,660",G,"237,078",G,"182,437",G,"363,366",G,"198,320",G,"319,042",G,"234,162",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",170,H,380,H,653,G,108,H,338,G,"1,308",G,725,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",81,H,280,G,80,H,174,J,849,J,123,G,238,H
Business,"Paid employees for pay period including March 12",Utilities,602,G,"2,239",H,"1,971",J,802,J,"2,073",J,"1,159",H,"1,469",J
Business,"Paid employees for pay period including March 12",Construction,"11,951",G,"11,674",G,"8,536",G,"18,149",G,"10,843",G,"16,882",G,"12,381",G
Business,"Paid employees for pay period including March 12",Manufacturing,"11,240",G,"26,831",G,"49,018",G,"58,053",H,"34,154",G,"35,335",G,"25,478",G
Business,"Paid employees for pay period including March 12","Wholesale trade","4,849",G,"10,198",G,"9,320",H,"18,417",G,"8,236",G,"14,669",G,"7,649",G
Business,"Paid employees for pay period including March 12","Retail trade","33,353",G,"40,744",G,"27,122",G,"42,303",G,"29,284",G,"39,953",G,"43,082",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","10,321",G,"11,814",G,"5,910",G,"16,526",G,"12,009",H,"10,912",G,"7,563",H
Business,"Paid employees for pay period including March 12",Information,"5,991",H,"5,120",G,"1,103",G,"7,360",G,"3,183",H,"6,841",G,"2,365",H
Business,"Paid employees for pay period including March 12","Finance and insurance","5,979",G,"6,362",G,"3,547",G,"14,024",G,"10,317",H,"16,687",G,"6,879",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","5,113",G,"3,033",H,"1,344",G,"4,453",G,"1,784",G,"5,230",G,"5,857",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","14,303",G,"9,328",G,"6,134",G,"23,662",G,"11,994",H,"21,668",G,"7,188",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",793,G,"2,746",G,"1,006",H,"12,709",G,"5,394",G,"4,630",G,"2,604",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","10,237",G,"28,075",G,"7,874",G,"36,908",G,"8,821",G,"25,555",G,"9,664",G
Business,"Paid employees for pay period including March 12","Educational services","2,639",G,"2,133",G,"3,863",H,"9,639",G,"2,351",H,"7,819",G,"1,662",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","24,380",G,"33,107",G,"23,795",H,"48,127",G,"22,447",G,"56,877",G,"42,496",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","5,093",G,"2,774",G,"2,255",G,"4,192",G,"2,447",G,"3,305",G,"5,951",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","32,727",G,"28,340",G,"20,523",G,"33,082",G,"21,802",G,"37,013",G,"41,438",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","10,779",G,"11,842",G,"8,363",G,"14,642",G,"9,980",G,"13,019",G,"9,437",G
Business,"Paid employees for pay period including March 12","Industries not classified",59,J,58,G,20,J,36,J,14,J,57,G,36,J
Business,"Annual payroll ($1,000)","Total for all sectors","9,414,369",G,"10,894,877",G,"7,990,129",G,"18,774,421",G,"9,672,566",G,"16,729,729",G,"9,930,677",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","13,096",H,"19,891",H,"31,824",G,"4,910",G,"18,016",G,"64,015",G,"35,839",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","7,228",H,"19,084",G,"5,392",G,"11,624",J,"67,518",J,"10,784",G,"11,742",J
Business,"Annual payroll ($1,000)",Utilities,"48,343",G,"199,568",H,"214,207",H,"66,653",J,"236,691",J,"117,018",H,"153,613",J
Business,"Annual payroll ($1,000)",Construction,"682,723",G,"650,332",G,"419,913",G,"1,138,040",G,"618,016",G,"1,107,083",G,"617,805",G
Business,"Annual payroll ($1,000)",Manufacturing,"803,087",G,"1,699,498",G,"2,740,135",G,"3,921,414",H,"1,957,489",G,"2,241,963",G,"1,557,282",G
Business,"Annual payroll ($1,000)","Wholesale trade","334,493",G,"680,219",G,"632,368",H,"1,320,977",G,"600,142",H,"955,461",G,"406,751",G
Business,"Annual payroll ($1,000)","Retail trade","1,050,284",G,"1,170,745",G,"763,515",G,"1,380,735",G,"801,779",G,"1,356,539",G,"1,292,698",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","460,250",G,"470,804",G,"275,303",G,"798,142",G,"548,685",H,"517,060",G,"349,605",H
Business,"Annual payroll ($1,000)",Information,"633,507",H,"300,960",G,"60,117",G,"469,531",H,"246,425",G,"510,987",G,"146,724",H
Business,"Annual payroll ($1,000)","Finance and insurance","662,601",G,"462,207",G,"220,708",G,"1,101,522",G,"927,846",H,"1,386,464",G,"485,975",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","315,212",G,"132,900",G,"59,069",G,"239,140",G,"89,940",G,"362,105",G,"265,092",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","1,219,073",G,"708,101",G,"326,567",H,"1,748,569",G,"787,317",G,"1,773,046",G,"425,434",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","63,599",G,"239,908",G,"144,682",H,"1,083,539",G,"648,327",H,"418,734",H,"266,573",G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","424,474",G,"1,389,809",G,"234,057",G,"1,403,356",G,"321,809",G,"920,031",G,"336,027",G
Business,"Annual payroll ($1,000)","Educational services","97,039",G,"70,771",G,"107,187",H,"359,619",G,"69,772",H,"283,686",G,"50,055",G
Business,"Annual payroll ($1,000)","Health care and social assistance","1,200,460",G,"1,732,793",H,"1,123,208",H,"2,487,195",H,"968,210",G,"3,238,943",G,"2,142,579",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","149,199",G,"60,866",G,"45,340",G,"89,800",G,"44,280",G,"94,263",G,"148,387",G
Business,"Annual payroll ($1,000)","Accommodation and food services","857,889",G,"496,787",G,"347,465",G,"669,408",G,"378,414",G,"879,723",G,"961,440",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","390,868",G,"388,590",G,"236,178",G,"479,169",G,"341,215",G,"490,716",G,"276,590",G
Business,"Annual payroll ($1,000)","Industries not classified",944,G,"1,044",G,"2,894",J,"1,078",G,675,H,"1,108",G,466,G
Business,"Total Establishments","Total for all sectors","17,651",X,"15,413",X,"12,330",X,"19,912",X,"13,173",X,"19,857",X,"17,720",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",35,X,80,X,98,X,21,X,68,X,138,X,97,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",8,X,16,X,12,X,12,X,16,X,10,X,18,X
Business,"Total Establishments",Utilities,27,X,77,X,41,X,34,X,56,X,72,X,46,X
Business,"Total Establishments",Construction,"2,126",X,"1,511",X,"1,383",X,"1,744",X,"1,260",X,"1,459",X,"1,636",X
Business,"Total Establishments",Manufacturing,358,X,390,X,654,X,833,X,598,X,612,X,444,X
Business,"Total Establishments","Wholesale trade",548,X,572,X,466,X,"1,113",X,550,X,850,X,611,X
Business,"Total Establishments","Retail trade","2,143",X,"2,484",X,"2,171",X,"2,659",X,"2,103",X,"3,147",X,"3,308",X
Business,"Total Establishments","Transportation and warehousing",497,X,480,X,292,X,569,X,425,X,683,X,411,X
Business,"Total Establishments",Information,250,X,214,X,151,X,301,X,207,X,314,X,229,X
Business,"Total Establishments","Finance and insurance","1,078",X,"1,086",X,766,X,"1,435",X,874,X,"1,205",X,"1,044",X
Business,"Total Establishments","Real estate and rental and leasing","1,623",X,815,X,542,X,"1,199",X,669,X,"1,105",X,"1,267",X
Business,"Total Establishments","Professional, scientific, and technical services","2,244",X,"1,431",X,883,X,"2,320",X,"1,080",X,"2,314",X,"1,332",X
Business,"Total Establishments","Management of companies and enterprises",63,X,82,X,47,X,203,X,49,X,126,X,63,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,158",X,"1,000",X,640,X,"1,195",X,675,X,"1,027",X,958,X
Business,"Total Establishments","Educational services",219,X,166,X,103,X,259,X,153,X,266,X,131,X
Business,"Total Establishments","Health care and social assistance","1,758",X,"1,662",X,"1,093",X,"1,991",X,"1,273",X,"2,097",X,"1,902",X
Business,"Total Establishments","Arts, entertainment, and recreation",352,X,218,X,169,X,276,X,189,X,278,X,346,X
Business,"Total Establishments","Accommodation and food services","1,580",X,"1,402",X,"1,234",X,"1,807",X,"1,246",X,"2,020",X,"2,146",X
Business,"Total Establishments","Other services (except public administration)","1,562",X,"1,705",X,"1,565",X,"1,916",X,"1,661",X,"2,100",X,"1,710",X
Business,"Total Establishments","Industries not classified",22,X,22,X,20,X,25,X,21,X,34,X,21,X

"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
