Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.21,(+/-0.08),2.11,(+/-0.07),2.39,(+/-0.10),2.37,(+/-0.10),2.12,(+/-0.07),2.23,(+/-0.10),2.29,(+/-0.09),2.37,(+/-0.09),2.53,(+/-0.10),2.29,(+/-0.07),2.55,(+/-0.12),2.45,(+/-0.09),2.14,(+/-0.07),2.11,(+/-0.06),2.50,(+/-0.11),2.63,(+/-0.12),2.31,(+/-0.10),2.51,(+/-0.11),2.32,(+/-0.11),2.59,(+/-0.11),2.46,(+/-0.12),2.46,(+/-0.13),2.33,(+/-0.11),2.44,(+/-0.09),2.53,(+/-0.10),2.70,(+/-0.08),2.27,(+/-0.07),2.86,(+/-0.09)
Housing,"Year Householder Moved into Unit","Occupied housing units","316,853","(+/-4,527)","318,103","(+/-4,647)","312,019","(+/-4,481)","312,269","(+/-6,271)","329,898","(+/-6,369)","346,386","(+/-6,527)","319,280","(+/-4,846)","329,335","(+/-5,119)","300,517","(+/-6,908)","297,984","(+/-8,215)","320,929","(+/-7,048)","326,682","(+/-5,723)","336,163","(+/-5,110)","330,587","(+/-6,759)","310,904","(+/-7,038)","319,981","(+/-6,761)","369,943","(+/-6,153)","308,832","(+/-4,926)","352,013","(+/-7,093)","289,926","(+/-6,881)","322,486","(+/-6,534)","313,735","(+/-5,926)","319,344","(+/-7,522)","298,575","(+/-7,595)","287,734","(+/-5,907)","283,525","(+/-7,069)","303,435","(+/-6,365)","248,956","(+/-5,668)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","68,682","(+/-4,126)","68,506","(+/-4,450)","67,572","(+/-4,565)","65,515","(+/-5,886)","75,352","(+/-4,570)","63,074","(+/-4,224)","61,576","(+/-5,090)","54,248","(+/-4,396)","66,528","(+/-5,149)","74,260","(+/-6,136)","61,717","(+/-5,150)","53,857","(+/-4,510)","64,293","(+/-4,539)","81,850","(+/-5,616)","63,487","(+/-3,939)","67,657","(+/-5,717)","71,668","(+/-4,912)","63,000","(+/-4,191)","67,716","(+/-4,375)","55,469","(+/-4,866)","52,891","(+/-4,763)","59,286","(+/-4,406)","75,838","(+/-5,390)","64,850","(+/-5,166)","51,173","(+/-5,130)","52,096","(+/-4,144)","65,817","(+/-5,855)","35,480","(+/-3,715)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","85,598","(+/-4,956)","80,304","(+/-5,758)","77,392","(+/-4,092)","75,855","(+/-4,913)","95,590","(+/-5,594)","84,912","(+/-5,352)","81,330","(+/-5,661)","84,767","(+/-5,031)","89,005","(+/-6,410)","83,650","(+/-5,373)","87,194","(+/-5,878)","87,434","(+/-4,827)","82,522","(+/-4,201)","93,069","(+/-5,850)","86,864","(+/-5,341)","87,542","(+/-5,285)","93,285","(+/-4,928)","81,245","(+/-5,163)","102,830","(+/-5,340)","73,095","(+/-4,741)","82,240","(+/-5,574)","75,440","(+/-4,616)","79,268","(+/-5,609)","78,137","(+/-5,266)","72,103","(+/-4,508)","75,105","(+/-5,468)","74,652","(+/-4,609)","62,711","(+/-4,569)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","68,903","(+/-4,650)","71,924","(+/-4,717)","76,815","(+/-4,763)","75,019","(+/-4,665)","75,094","(+/-4,510)","91,861","(+/-4,829)","76,451","(+/-4,828)","88,144","(+/-4,549)","79,764","(+/-5,719)","63,594","(+/-4,455)","92,611","(+/-5,057)","93,892","(+/-5,100)","90,111","(+/-5,343)","73,893","(+/-4,270)","80,991","(+/-5,096)","95,515","(+/-4,781)","109,427","(+/-5,687)","77,472","(+/-4,496)","97,209","(+/-4,929)","72,659","(+/-4,569)","84,119","(+/-4,386)","94,436","(+/-5,767)","76,518","(+/-4,303)","73,256","(+/-5,502)","77,207","(+/-5,404)","71,419","(+/-5,325)","73,707","(+/-4,502)","66,944","(+/-4,284)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","42,566","(+/-3,762)","46,585","(+/-2,903)","47,135","(+/-3,243)","48,842","(+/-3,736)","44,273","(+/-3,659)","59,204","(+/-3,904)","51,857","(+/-3,374)","54,379","(+/-4,206)","38,558","(+/-4,009)","40,917","(+/-4,398)","51,570","(+/-4,351)","53,052","(+/-3,661)","46,802","(+/-2,962)","38,092","(+/-3,393)","43,674","(+/-3,251)","40,716","(+/-3,373)","55,620","(+/-3,720)","46,924","(+/-3,437)","48,232","(+/-3,097)","42,725","(+/-4,265)","60,667","(+/-4,309)","48,401","(+/-3,759)","43,691","(+/-3,802)","39,462","(+/-3,636)","44,716","(+/-3,249)","46,083","(+/-3,417)","39,032","(+/-3,736)","42,068","(+/-3,939)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","27,750","(+/-2,629)","28,622","(+/-2,373)","23,801","(+/-2,468)","24,371","(+/-2,810)","23,326","(+/-2,994)","27,221","(+/-2,686)","29,549","(+/-2,892)","29,368","(+/-2,847)","19,524","(+/-2,599)","21,703","(+/-2,608)","18,926","(+/-2,184)","24,718","(+/-2,903)","29,567","(+/-2,567)","20,287","(+/-2,319)","19,946","(+/-2,098)","17,912","(+/-2,322)","26,686","(+/-3,065)","23,562","(+/-2,896)","24,169","(+/-2,485)","25,320","(+/-3,208)","27,093","(+/-2,878)","24,577","(+/-2,766)","26,000","(+/-2,565)","23,296","(+/-2,278)","30,595","(+/-3,332)","21,997","(+/-2,612)","24,917","(+/-2,759)","28,264","(+/-2,501)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","23,354","(+/-2,235)","22,162","(+/-1,958)","19,304","(+/-2,275)","22,667","(+/-2,175)","16,263","(+/-1,889)","20,114","(+/-2,544)","18,517","(+/-2,083)","18,429","(+/-2,169)","7,138","(+/-1,520)","13,860","(+/-2,058)","8,911","(+/-1,727)","13,729","(+/-1,701)","22,868","(+/-2,320)","23,396","(+/-2,516)","15,942","(+/-1,993)","10,639","(+/-1,586)","13,257","(+/-1,874)","16,629","(+/-1,776)","11,857","(+/-2,061)","20,658","(+/-2,485)","15,476","(+/-2,238)","11,595","(+/-1,484)","18,029","(+/-2,379)","19,574","(+/-2,344)","11,940","(+/-1,803)","16,825","(+/-2,072)","25,310","(+/-2,600)","13,489","(+/-1,732)"
Housing,Value,"Owner-occupied units","219,874","(+/-5,407)","205,957","(+/-5,221)","213,826","(+/-5,871)","212,678","(+/-5,582)","213,853","(+/-6,392)","266,395","(+/-5,791)","223,767","(+/-5,528)","253,949","(+/-5,096)","189,308","(+/-7,381)","145,581","(+/-5,479)","244,377","(+/-7,543)","253,870","(+/-6,022)","241,643","(+/-5,488)","183,685","(+/-5,609)","203,342","(+/-6,525)","233,642","(+/-6,558)","287,723","(+/-6,823)","222,148","(+/-6,010)","261,687","(+/-5,652)","171,559","(+/-6,638)","255,380","(+/-6,729)","222,095","(+/-5,779)","203,737","(+/-6,280)","142,369","(+/-4,952)","187,161","(+/-5,958)","160,224","(+/-5,993)","153,261","(+/-5,291)","156,710","(+/-5,434)"
Housing,Value,"Less than $50,000","9,039","(+/-1,600)","17,653","(+/-1,967)","19,927","(+/-2,400)","11,055","(+/-1,916)","4,877","(+/-1,294)","21,356","(+/-2,435)","8,970","(+/-1,541)","10,634","(+/-1,962)","6,794","(+/-1,675)","5,598","(+/-1,327)","14,699","(+/-2,632)","18,918","(+/-2,043)","15,648","(+/-1,925)","9,430","(+/-1,686)","15,855","(+/-1,932)","13,613","(+/-2,245)","10,119","(+/-1,718)","24,605","(+/-2,488)","8,039","(+/-1,313)","7,757","(+/-1,892)","10,725","(+/-1,981)","9,011","(+/-1,607)","5,849","(+/-1,301)","3,679",(+/-811),"5,868","(+/-1,474)","6,295","(+/-1,472)","3,196",(+/-888),"4,573",(+/-903)
Housing,Value,"$50,000 to $99,999","11,095","(+/-1,577)","23,885","(+/-2,320)","14,596","(+/-1,824)","15,415","(+/-2,461)","3,544","(+/-1,019)","22,703","(+/-2,700)","7,259","(+/-1,902)","9,181","(+/-1,685)","4,653","(+/-1,369)","4,553","(+/-1,611)","8,911","(+/-1,797)","16,844","(+/-2,056)","13,831","(+/-1,765)","5,885","(+/-1,455)","9,267","(+/-1,608)","10,832","(+/-1,886)","11,149","(+/-1,458)","24,779","(+/-2,277)","6,635","(+/-1,377)","10,397","(+/-1,923)","7,773","(+/-1,632)","8,369","(+/-1,661)","7,345","(+/-1,514)","3,513","(+/-1,018)","4,773",(+/-984),"3,012",(+/-976),"1,182",(+/-567),"1,255",(+/-486)
Housing,Value,"$100,000 to $149,999","12,898","(+/-2,317)","19,611","(+/-2,224)","17,883","(+/-2,358)","12,733","(+/-2,127)","5,089","(+/-1,220)","17,419","(+/-2,302)","7,021","(+/-1,618)","10,501","(+/-1,541)","4,447","(+/-1,052)","5,663","(+/-1,421)","6,857","(+/-1,148)","18,378","(+/-2,547)","12,727","(+/-1,725)","4,281","(+/-1,005)","10,519","(+/-1,874)","7,033","(+/-1,518)","10,551","(+/-2,039)","19,744","(+/-2,468)","8,365","(+/-1,683)","12,806","(+/-2,580)","9,071","(+/-1,645)","10,738","(+/-1,910)","8,349","(+/-1,891)","3,480",(+/-945),"8,046","(+/-1,997)","3,916","(+/-1,288)","2,112",(+/-960),"2,423",(+/-986)
Housing,Value,"$150,000 to $199,999","21,162","(+/-2,430)","23,231","(+/-2,796)","29,241","(+/-3,173)","21,899","(+/-2,656)","12,349","(+/-2,822)","23,568","(+/-2,401)","12,190","(+/-1,658)","18,934","(+/-2,236)","7,596","(+/-1,789)","10,801","(+/-2,088)","12,099","(+/-2,031)","25,523","(+/-2,683)","15,962","(+/-1,849)","10,701","(+/-1,968)","13,418","(+/-2,147)","11,220","(+/-1,820)","18,266","(+/-2,080)","23,779","(+/-2,651)","12,065","(+/-1,572)","15,958","(+/-2,318)","11,566","(+/-1,812)","11,271","(+/-1,641)","12,300","(+/-2,402)","9,307","(+/-1,763)","7,631","(+/-1,594)","8,748","(+/-1,468)","3,454",(+/-943),"3,493",(+/-774)
Housing,Value,"$200,000 to $299,999","48,743","(+/-3,350)","43,160","(+/-3,299)","53,179","(+/-3,992)","48,541","(+/-3,658)","33,829","(+/-2,802)","56,899","(+/-4,297)","49,678","(+/-4,217)","56,596","(+/-3,918)","40,020","(+/-4,359)","27,542","(+/-3,062)","39,812","(+/-4,085)","62,050","(+/-3,635)","39,521","(+/-2,961)","33,620","(+/-3,015)","41,091","(+/-3,585)","30,947","(+/-3,081)","52,379","(+/-4,192)","50,174","(+/-3,822)","37,025","(+/-3,287)","33,786","(+/-3,569)","32,920","(+/-3,073)","33,099","(+/-3,552)","20,488","(+/-2,257)","19,870","(+/-2,740)","22,709","(+/-3,152)","19,859","(+/-2,212)","12,170","(+/-2,095)","14,842","(+/-1,995)"
Housing,Value,"$300,000 to $499,999","74,671","(+/-4,465)","47,818","(+/-3,732)","57,494","(+/-4,511)","73,740","(+/-4,219)","80,648","(+/-4,939)","85,425","(+/-4,225)","88,600","(+/-4,885)","92,038","(+/-5,352)","91,339","(+/-7,045)","57,431","(+/-3,907)","97,714","(+/-5,165)","78,332","(+/-4,274)","80,380","(+/-4,607)","56,026","(+/-3,846)","72,525","(+/-4,528)","93,896","(+/-4,828)","104,618","(+/-5,446)","58,771","(+/-3,977)","86,312","(+/-4,099)","63,891","(+/-5,014)","95,720","(+/-5,368)","68,284","(+/-4,740)","54,012","(+/-4,182)","56,815","(+/-3,785)","61,942","(+/-4,140)","60,663","(+/-3,624)","41,007","(+/-3,405)","67,598","(+/-4,558)"
Housing,Value,"$500,000 to $999,999","34,154","(+/-3,191)","24,479","(+/-2,735)","18,082","(+/-2,767)","24,209","(+/-2,331)","59,019","(+/-4,221)","32,028","(+/-3,197)","44,391","(+/-3,598)","45,130","(+/-3,494)","29,931","(+/-4,045)","28,227","(+/-2,602)","54,478","(+/-4,142)","30,319","(+/-3,038)","50,238","(+/-3,179)","46,607","(+/-3,038)","36,205","(+/-3,294)","55,996","(+/-3,387)","60,071","(+/-3,768)","18,142","(+/-2,615)","70,066","(+/-3,674)","24,726","(+/-2,977)","64,180","(+/-4,030)","57,552","(+/-3,200)","67,227","(+/-3,671)","27,399","(+/-2,827)","64,076","(+/-4,893)","47,460","(+/-3,784)","60,233","(+/-3,973)","52,049","(+/-3,654)"
Housing,Value,"$1,000,000 or more","8,112","(+/-1,446)","6,120","(+/-1,200)","3,424","(+/-1,038)","5,086","(+/-1,126)","14,498","(+/-2,208)","6,997","(+/-1,379)","5,658","(+/-1,358)","10,935","(+/-1,546)","4,528","(+/-1,701)","5,766","(+/-1,253)","9,807","(+/-2,181)","3,506","(+/-1,059)","13,336","(+/-1,451)","17,135","(+/-2,190)","4,462","(+/-1,072)","10,105","(+/-1,696)","20,570","(+/-2,243)","2,154",(+/-682),"33,180","(+/-2,664)","2,238",(+/-957),"23,425","(+/-2,365)","23,771","(+/-2,479)","28,167","(+/-3,016)","18,306","(+/-2,141)","12,116","(+/-1,807)","10,271","(+/-1,655)","29,907","(+/-3,058)","10,477","(+/-1,605)"
Housing,Value,"Median (dollars)","314,500","(+/-8,010)","243,400","(+/-8,009)","246,000","(+/-7,404)","293,300","(+/-7,626)","409,400","(+/-11,382)","284,700","(+/-5,580)","349,700","(+/-7,509)","338,400","(+/-7,911)","352,000","(+/-6,900)","350,600","(+/-8,110)","369,400","(+/-7,047)","276,900","(+/-6,249)","353,900","(+/-7,076)","380,600","(+/-8,832)","326,700","(+/-8,783)","385,200","(+/-7,663)","365,600","(+/-6,523)","235,400","(+/-7,001)","424,600","(+/-8,947)","312,900","(+/-8,721)","407,300","(+/-9,305)","401,600","(+/-10,321)","476,600","(+/-12,999)","389,300","(+/-9,962)","446,900","(+/-12,042)","432,500","(+/-8,047)","580,500","(+/-17,698)","454,100","(+/-9,007)"
Housing,"Mortgage Status","Owner-occupied units","219,874","(+/-5,407)","205,957","(+/-5,221)","213,826","(+/-5,871)","212,678","(+/-5,582)","213,853","(+/-6,392)","266,395","(+/-5,791)","223,767","(+/-5,528)","253,949","(+/-5,096)","189,308","(+/-7,381)","145,581","(+/-5,479)","244,377","(+/-7,543)","253,870","(+/-6,022)","241,643","(+/-5,488)","183,685","(+/-5,609)","203,342","(+/-6,525)","233,642","(+/-6,558)","287,723","(+/-6,823)","222,148","(+/-6,010)","261,687","(+/-5,652)","171,559","(+/-6,638)","255,380","(+/-6,729)","222,095","(+/-5,779)","203,737","(+/-6,280)","142,369","(+/-4,952)","187,161","(+/-5,958)","160,224","(+/-5,993)","153,261","(+/-5,291)","156,710","(+/-5,434)"
Housing,"Mortgage Status","Housing units with a mortgage","130,699","(+/-5,152)","107,573","(+/-4,469)","107,876","(+/-5,695)","140,102","(+/-5,377)","142,836","(+/-5,293)","132,589","(+/-5,193)","139,813","(+/-5,492)","140,458","(+/-5,580)","131,525","(+/-6,180)","91,654","(+/-3,921)","141,431","(+/-6,507)","138,289","(+/-5,136)","125,887","(+/-5,096)","113,598","(+/-5,599)","123,726","(+/-5,513)","132,166","(+/-5,592)","139,078","(+/-5,337)","111,407","(+/-5,522)","124,742","(+/-5,677)","103,531","(+/-5,217)","137,927","(+/-5,771)","113,369","(+/-5,836)","111,081","(+/-5,103)","80,874","(+/-4,117)","108,466","(+/-5,181)","90,051","(+/-4,561)","85,744","(+/-4,799)","93,655","(+/-5,163)"
Housing,"Mortgage Status","Housing units without a mortgage","89,175","(+/-3,987)","98,384","(+/-3,731)","105,950","(+/-4,986)","72,576","(+/-4,091)","71,017","(+/-3,913)","133,806","(+/-5,157)","83,954","(+/-4,365)","113,491","(+/-4,796)","57,783","(+/-4,325)","53,927","(+/-4,043)","102,946","(+/-5,288)","115,581","(+/-5,241)","115,756","(+/-4,611)","70,087","(+/-3,596)","79,616","(+/-4,185)","101,476","(+/-4,302)","148,645","(+/-5,375)","110,741","(+/-4,681)","136,945","(+/-4,647)","68,028","(+/-4,995)","117,453","(+/-5,262)","108,726","(+/-5,004)","92,656","(+/-4,972)","61,495","(+/-4,087)","78,695","(+/-4,512)","70,173","(+/-4,505)","67,517","(+/-3,978)","63,055","(+/-3,330)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","130,699","(+/-5,152)","107,573","(+/-4,469)","107,876","(+/-5,695)","140,102","(+/-5,377)","142,836","(+/-5,293)","132,589","(+/-5,193)","139,813","(+/-5,492)","140,458","(+/-5,580)","131,525","(+/-6,180)","91,654","(+/-3,921)","141,431","(+/-6,507)","138,289","(+/-5,136)","125,887","(+/-5,096)","113,598","(+/-5,599)","123,726","(+/-5,513)","132,166","(+/-5,592)","139,078","(+/-5,337)","111,407","(+/-5,522)","124,742","(+/-5,677)","103,531","(+/-5,217)","137,927","(+/-5,771)","113,369","(+/-5,836)","111,081","(+/-5,103)","80,874","(+/-4,117)","108,466","(+/-5,181)","90,051","(+/-4,561)","85,744","(+/-4,799)","93,655","(+/-5,163)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,360",(+/-558),"1,293",(+/-525),873,(+/-426),"1,797",(+/-809),806,(+/-394),"1,522",(+/-587),853,(+/-426),"1,018",(+/-436),"1,709","(+/-1,025)",326,(+/-254),"1,181",(+/-582),"2,740",(+/-811),977,(+/-465),909,(+/-477),"1,001",(+/-479),"1,297",(+/-792),798,(+/-493),"1,135",(+/-484),468,(+/-336),314,(+/-234),805,(+/-477),544,(+/-371),331,(+/-294),486,(+/-349),861,(+/-534),"1,002",(+/-601),592,(+/-418),"1,175",(+/-502)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","15,806","(+/-1,924)","23,164","(+/-2,484)","24,232","(+/-2,571)","22,556","(+/-2,599)","10,684","(+/-1,792)","23,551","(+/-2,497)","16,886","(+/-2,374)","18,794","(+/-2,889)","9,824","(+/-2,133)","8,070","(+/-1,525)","13,942","(+/-2,069)","27,350","(+/-2,987)","14,216","(+/-1,956)","10,360","(+/-1,615)","13,105","(+/-2,013)","8,369","(+/-1,650)","17,877","(+/-2,361)","20,134","(+/-2,300)","9,362","(+/-1,452)","7,137","(+/-1,618)","7,803","(+/-1,442)","8,322","(+/-1,575)","5,509","(+/-1,299)","3,960","(+/-1,153)","5,007","(+/-1,267)","5,774","(+/-1,150)","4,093","(+/-1,229)","3,858","(+/-1,220)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","34,220","(+/-3,275)","33,036","(+/-3,343)","39,842","(+/-2,984)","43,784","(+/-3,647)","36,070","(+/-3,142)","41,768","(+/-3,704)","40,378","(+/-3,554)","40,702","(+/-4,031)","37,492","(+/-4,259)","25,997","(+/-2,831)","34,363","(+/-4,085)","47,408","(+/-3,514)","34,775","(+/-3,201)","25,479","(+/-2,786)","35,036","(+/-3,452)","28,570","(+/-2,468)","39,365","(+/-4,025)","35,526","(+/-2,892)","29,412","(+/-2,995)","25,976","(+/-3,283)","30,768","(+/-3,475)","22,824","(+/-2,859)","15,749","(+/-2,611)","14,031","(+/-1,954)","15,621","(+/-2,199)","14,857","(+/-2,034)","8,094","(+/-1,611)","14,197","(+/-2,150)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","38,434","(+/-3,889)","23,237","(+/-2,384)","23,030","(+/-2,809)","40,624","(+/-3,699)","36,499","(+/-4,171)","34,691","(+/-3,141)","33,336","(+/-2,734)","37,513","(+/-3,466)","39,565","(+/-3,699)","22,055","(+/-2,959)","43,133","(+/-4,263)","30,798","(+/-3,046)","30,120","(+/-3,143)","26,324","(+/-3,520)","35,535","(+/-3,996)","38,458","(+/-3,528)","37,895","(+/-3,394)","31,717","(+/-3,374)","32,105","(+/-2,953)","25,721","(+/-3,195)","34,703","(+/-3,692)","21,624","(+/-2,639)","20,151","(+/-2,738)","17,800","(+/-2,532)","18,559","(+/-2,436)","20,673","(+/-2,611)","14,288","(+/-2,229)","20,483","(+/-2,862)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","19,660","(+/-2,760)","12,165","(+/-1,794)","10,535","(+/-2,008)","16,104","(+/-2,396)","21,735","(+/-3,269)","16,505","(+/-2,890)","22,980","(+/-3,273)","18,265","(+/-2,509)","24,258","(+/-3,374)","14,971","(+/-2,091)","21,686","(+/-2,883)","15,162","(+/-2,407)","19,138","(+/-2,203)","15,935","(+/-2,150)","17,321","(+/-2,403)","28,481","(+/-3,456)","20,618","(+/-2,650)","11,667","(+/-1,909)","20,321","(+/-2,658)","21,991","(+/-2,888)","24,163","(+/-3,042)","22,644","(+/-3,031)","17,650","(+/-2,483)","16,434","(+/-1,939)","20,666","(+/-2,480)","18,668","(+/-2,723)","13,723","(+/-2,204)","22,694","(+/-2,895)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","10,288","(+/-1,668)","6,876","(+/-1,666)","3,921",(+/-885),"7,565","(+/-1,533)","16,039","(+/-2,658)","6,451","(+/-1,531)","13,355","(+/-2,582)","11,212","(+/-1,867)","8,430","(+/-1,862)","8,437","(+/-1,574)","12,543","(+/-1,952)","7,517","(+/-1,542)","11,029","(+/-1,563)","10,455","(+/-1,788)","8,457","(+/-1,631)","14,922","(+/-2,680)","9,667","(+/-1,669)","6,872","(+/-1,722)","13,671","(+/-2,050)","13,484","(+/-2,335)","14,285","(+/-2,064)","14,055","(+/-2,013)","15,926","(+/-2,837)","9,782","(+/-1,623)","17,734","(+/-2,469)","11,928","(+/-1,918)","10,568","(+/-1,563)","14,492","(+/-2,333)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","10,931","(+/-1,998)","7,802","(+/-1,170)","5,443","(+/-1,683)","7,672","(+/-1,566)","21,003","(+/-2,685)","8,101","(+/-1,487)","12,025","(+/-2,175)","12,954","(+/-1,754)","10,247","(+/-2,504)","11,798","(+/-1,693)","14,583","(+/-2,704)","7,314","(+/-1,634)","15,632","(+/-1,899)","24,136","(+/-2,901)","13,271","(+/-1,848)","12,069","(+/-1,961)","12,858","(+/-2,260)","4,356","(+/-1,403)","19,403","(+/-2,164)","8,908","(+/-1,651)","25,400","(+/-2,752)","23,356","(+/-2,421)","35,765","(+/-3,778)","18,381","(+/-2,087)","30,018","(+/-2,803)","17,149","(+/-2,066)","34,386","(+/-3,227)","16,756","(+/-2,351)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,690",(+/-42),"1,442",(+/-41),"1,359",(+/-39),"1,522",(+/-39),"1,828",(+/-48),"1,494",(+/-37),"1,670",(+/-48),"1,610",(+/-39),"1,693",(+/-41),"1,726",(+/-53),"1,732",(+/-41),"1,418",(+/-27),"1,680",(+/-38),"1,887",(+/-49),"1,662",(+/-37),"1,861",(+/-41),"1,625",(+/-40),"1,486",(+/-39),"1,856",(+/-42),"1,851",(+/-65),"1,923",(+/-52),"2,074",(+/-64),"2,391",(+/-87),"2,127",(+/-69),"2,343",(+/-69),"2,073",(+/-69),"2,599",(+/-126),"2,157",(+/-54)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","89,175","(+/-3,987)","98,384","(+/-3,731)","105,950","(+/-4,986)","72,576","(+/-4,091)","71,017","(+/-3,913)","133,806","(+/-5,157)","83,954","(+/-4,365)","113,491","(+/-4,796)","57,783","(+/-4,325)","53,927","(+/-4,043)","102,946","(+/-5,288)","115,581","(+/-5,241)","115,756","(+/-4,611)","70,087","(+/-3,596)","79,616","(+/-4,185)","101,476","(+/-4,302)","148,645","(+/-5,375)","110,741","(+/-4,681)","136,945","(+/-4,647)","68,028","(+/-4,995)","117,453","(+/-5,262)","108,726","(+/-5,004)","92,656","(+/-4,972)","61,495","(+/-4,087)","78,695","(+/-4,512)","70,173","(+/-4,505)","67,517","(+/-3,978)","63,055","(+/-3,330)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","9,734","(+/-1,764)","17,314","(+/-1,820)","17,155","(+/-2,353)","10,940","(+/-2,001)","4,309","(+/-1,253)","21,743","(+/-2,605)","5,381","(+/-1,205)","10,332","(+/-2,021)","4,391","(+/-1,145)","4,136","(+/-1,012)","9,206","(+/-1,791)","20,464","(+/-2,333)","9,075","(+/-1,591)","8,539","(+/-1,801)","10,133","(+/-1,663)","10,336","(+/-1,805)","12,548","(+/-2,067)","19,764","(+/-2,436)","7,299","(+/-1,685)","5,518","(+/-1,467)","7,971","(+/-1,781)","2,874",(+/-774),"1,782",(+/-655),"4,344","(+/-1,175)","2,959",(+/-965),"4,163","(+/-1,101)","2,270",(+/-821),"3,872",(+/-919)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","20,359","(+/-2,263)","26,101","(+/-2,680)","26,048","(+/-2,711)","17,789","(+/-2,494)","8,325","(+/-1,689)","31,118","(+/-2,689)","15,420","(+/-2,100)","18,913","(+/-2,382)","9,207","(+/-1,826)","9,237","(+/-2,025)","18,039","(+/-2,853)","30,743","(+/-3,140)","13,120","(+/-1,746)","11,284","(+/-1,768)","15,186","(+/-2,248)","14,521","(+/-2,959)","20,861","(+/-2,611)","28,005","(+/-2,928)","10,919","(+/-1,691)","10,241","(+/-2,048)","10,656","(+/-1,942)","8,663","(+/-1,736)","4,674","(+/-1,350)","6,972","(+/-1,410)","5,621","(+/-1,386)","9,547","(+/-1,586)","6,215","(+/-1,408)","8,114","(+/-1,642)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","24,400","(+/-2,722)","25,823","(+/-2,215)","32,186","(+/-3,184)","20,883","(+/-2,176)","20,650","(+/-3,074)","35,205","(+/-3,347)","22,349","(+/-2,380)","31,433","(+/-3,046)","17,039","(+/-2,162)","13,775","(+/-1,948)","32,097","(+/-3,090)","36,125","(+/-2,786)","25,747","(+/-2,385)","14,986","(+/-2,203)","20,400","(+/-2,270)","23,910","(+/-2,643)","35,512","(+/-3,332)","34,270","(+/-2,960)","23,292","(+/-2,545)","18,809","(+/-2,721)","21,623","(+/-3,039)","20,260","(+/-2,873)","14,097","(+/-2,236)","10,620","(+/-2,126)","14,394","(+/-2,371)","17,513","(+/-2,312)","12,501","(+/-1,989)","13,403","(+/-1,986)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","16,099","(+/-2,130)","14,887","(+/-1,831)","18,051","(+/-2,355)","12,020","(+/-1,989)","14,553","(+/-1,971)","20,344","(+/-2,679)","19,105","(+/-2,455)","21,874","(+/-2,710)","12,923","(+/-2,275)","10,913","(+/-1,755)","18,601","(+/-2,956)","15,832","(+/-1,999)","25,234","(+/-2,596)","11,778","(+/-1,583)","16,424","(+/-2,033)","20,596","(+/-2,602)","29,590","(+/-2,912)","15,513","(+/-2,011)","25,949","(+/-2,589)","16,018","(+/-2,506)","24,727","(+/-2,490)","23,856","(+/-2,542)","17,955","(+/-2,330)","8,542","(+/-1,649)","17,249","(+/-2,324)","13,221","(+/-1,963)","12,150","(+/-1,675)","14,474","(+/-1,973)"
