Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","36,874","(+/-3,747)","45,751","(+/-4,447)","28,950","(+/-3,021)","30,912","(+/-3,506)","38,062","(+/-3,260)","27,980","(+/-3,529)","36,306","(+/-3,796)","53,866","(+/-4,811)","40,372","(+/-3,804)","27,158","(+/-2,883)","33,982","(+/-2,915)","27,711","(+/-5,242)","58,335","(+/-5,755)","49,140","(+/-4,538)","73,708","(+/-5,929)","41,621","(+/-4,528)","32,008","(+/-3,179)","54,533","(+/-4,675)","56,672","(+/-3,482)","49,088","(+/-3,581)","62,857","(+/-4,213)","60,373","(+/-4,269)","58,352","(+/-3,592)","61,673","(+/-3,836)","56,115","(+/-4,059)","54,165","(+/-4,010)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","154,294","(+/-5,040)","121,797","(+/-5,296)","161,609","(+/-6,338)","137,839","(+/-4,789)","125,788","(+/-5,187)","146,432","(+/-6,649)","78,587","(+/-5,957)","129,575","(+/-6,700)","123,406","(+/-6,554)","107,333","(+/-6,253)","131,168","(+/-3,991)","138,250","(+/-5,935)","115,480","(+/-5,421)","110,128","(+/-5,891)","94,199","(+/-5,058)","130,955","(+/-3,765)","133,776","(+/-3,850)","134,314","(+/-2,355)","158,824","(+/-2,117)","142,049","(+/-1,673)","156,529","(+/-1,937)","142,900",(+/-898),"162,778","(+/-3,707)","154,334","(+/-2,084)","142,168",(+/-612),"138,860","(+/-4,029)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","40,915","(+/-2,744)","36,412","(+/-3,006)","41,743","(+/-3,435)","40,454","(+/-3,073)","42,878","(+/-3,077)","43,662","(+/-4,245)","28,062","(+/-3,802)","56,115","(+/-4,373)","45,593","(+/-4,039)","35,613","(+/-3,646)","46,600","(+/-2,989)","36,586","(+/-3,604)","53,621","(+/-4,485)","45,743","(+/-4,166)","43,125","(+/-4,299)","43,923","(+/-3,229)","37,124","(+/-2,450)","42,647","(+/-2,946)","47,267","(+/-2,747)","41,483","(+/-2,691)","50,550","(+/-2,290)","43,182","(+/-2,808)","53,144","(+/-2,588)","45,355","(+/-2,555)","42,235","(+/-2,756)","41,113","(+/-3,145)"
People,"Residence 1 Year Ago","Population 1 year and over","769,696","(+/-10,570)","767,477","(+/-12,345)","764,037","(+/-13,376)","765,138","(+/-5,600)","744,418","(+/-19,243)","745,778","(+/-21,125)","691,313","(+/-21,787)","746,304","(+/-22,462)","745,878","(+/-19,009)","696,978","(+/-22,618)","732,415","(+/-15,625)","695,876","(+/-18,229)","763,920","(+/-16,990)","719,240","(+/-24,034)","720,283","(+/-18,772)","748,465","(+/-8,685)","762,889","(+/-5,782)","778,203","(+/-5,806)","763,186","(+/-4,919)","774,212","(+/-3,216)","766,592","(+/-4,492)","757,226","(+/-1,305)","763,619","(+/-5,409)","767,144","(+/-4,521)","762,295","(+/-2,440)","761,605","(+/-6,188)"
People,"Residence 1 Year Ago","Same house","708,671","(+/-11,761)","706,410","(+/-14,645)","702,227","(+/-14,954)","703,868","(+/-9,231)","691,687","(+/-18,571)","689,912","(+/-21,255)","595,310","(+/-21,797)","678,864","(+/-21,349)","671,411","(+/-19,343)","584,120","(+/-22,548)","681,918","(+/-15,415)","558,001","(+/-19,581)","668,997","(+/-17,228)","664,900","(+/-23,988)","656,501","(+/-19,351)","675,601","(+/-11,200)","699,432","(+/-10,050)","700,877","(+/-8,435)","666,673","(+/-7,103)","666,896","(+/-8,752)","687,466","(+/-6,535)","663,401","(+/-7,355)","697,082","(+/-7,959)","683,164","(+/-7,387)","663,370","(+/-7,353)","679,904","(+/-9,161)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","61,025","(+/-6,165)","61,067","(+/-7,465)","61,810","(+/-6,882)","61,270","(+/-6,705)","52,731","(+/-6,308)","55,866","(+/-6,924)","96,003","(+/-9,047)","67,440","(+/-7,216)","74,467","(+/-7,956)","112,858","(+/-7,578)","50,497","(+/-6,164)","137,875","(+/-10,977)","94,923","(+/-9,907)","54,340","(+/-7,022)","63,782","(+/-8,184)","72,864","(+/-7,470)","63,457","(+/-7,750)","77,326","(+/-7,134)","96,513","(+/-6,181)","107,316","(+/-8,328)","79,126","(+/-5,560)","93,825","(+/-7,206)","66,537","(+/-5,575)","83,980","(+/-6,616)","98,925","(+/-7,221)","81,701","(+/-7,603)"
People,"Residence 1 Year Ago","Different house in the U.S.","57,361","(+/-6,102)","58,692","(+/-7,299)","57,266","(+/-6,059)","58,539","(+/-6,559)","47,104","(+/-5,884)","49,384","(+/-6,369)","89,023","(+/-8,355)","60,605","(+/-7,160)","67,663","(+/-7,529)","105,023","(+/-7,077)","46,190","(+/-5,940)","122,033","(+/-9,323)","82,650","(+/-8,814)","49,020","(+/-7,137)","56,685","(+/-7,373)","65,763","(+/-6,983)","59,255","(+/-7,324)","73,161","(+/-7,256)","92,869","(+/-6,226)","104,592","(+/-8,383)","76,167","(+/-5,557)","91,234","(+/-7,203)","64,226","(+/-5,505)","82,481","(+/-6,583)","95,058","(+/-7,108)","77,435","(+/-7,741)"
People,"Residence 1 Year Ago","Same county","33,977","(+/-5,299)","38,551","(+/-6,484)","29,446","(+/-4,512)","29,656","(+/-5,750)","33,898","(+/-5,797)","35,965","(+/-5,485)","41,171","(+/-4,719)","37,531","(+/-5,647)","43,468","(+/-6,734)","50,690","(+/-5,080)","23,315","(+/-3,791)","67,873","(+/-7,593)","48,297","(+/-7,706)","32,982","(+/-5,509)","39,511","(+/-6,562)","36,155","(+/-5,313)","28,031","(+/-5,283)","28,726","(+/-4,296)","42,364","(+/-5,295)","41,449","(+/-5,473)","37,929","(+/-4,197)","51,159","(+/-6,296)","38,909","(+/-4,126)","41,585","(+/-5,610)","60,025","(+/-6,047)","47,671","(+/-6,548)"
People,"Residence 1 Year Ago","Different county","23,384","(+/-3,703)","20,141","(+/-3,532)","27,820","(+/-4,688)","28,883","(+/-4,204)","13,206","(+/-2,125)","13,419","(+/-2,505)","47,852","(+/-6,073)","23,074","(+/-4,769)","24,195","(+/-4,297)","54,333","(+/-5,237)","22,875","(+/-4,821)","54,160","(+/-5,388)","34,353","(+/-5,108)","16,038","(+/-3,396)","17,174","(+/-2,906)","29,608","(+/-4,605)","31,224","(+/-4,768)","44,435","(+/-5,966)","50,505","(+/-4,843)","63,143","(+/-5,817)","38,238","(+/-3,111)","40,075","(+/-4,064)","25,317","(+/-3,304)","40,896","(+/-4,381)","35,033","(+/-3,676)","29,764","(+/-3,640)"
People,"Residence 1 Year Ago","Same state","18,028","(+/-3,249)","17,124","(+/-3,280)","23,213","(+/-4,654)","25,076","(+/-4,278)","9,924","(+/-2,118)","11,081","(+/-2,502)","29,351","(+/-5,088)","14,123","(+/-3,005)","15,013","(+/-3,686)","19,316","(+/-3,013)","17,358","(+/-4,664)","17,557","(+/-3,204)","16,029","(+/-3,015)","11,851","(+/-2,791)","12,058","(+/-2,425)","21,457","(+/-4,130)","22,285","(+/-3,576)","30,384","(+/-4,368)","34,693","(+/-3,769)","48,967","(+/-5,285)","23,971","(+/-2,510)","22,334","(+/-2,919)","15,808","(+/-2,657)","29,878","(+/-3,606)","19,141","(+/-2,496)","21,664","(+/-3,163)"
People,"Residence 1 Year Ago","Different state","5,356","(+/-1,539)","3,017","(+/-1,243)","4,607","(+/-1,525)","3,807","(+/-1,131)","3,282","(+/-1,151)","2,338",(+/-723),"18,501","(+/-3,160)","8,951","(+/-2,984)","9,182","(+/-2,385)","35,017","(+/-4,524)","5,517","(+/-1,635)","36,603","(+/-4,832)","18,324","(+/-4,449)","4,187","(+/-1,658)","5,116","(+/-1,649)","8,151","(+/-1,943)","8,939","(+/-2,802)","14,051","(+/-2,677)","15,812","(+/-2,331)","14,176","(+/-3,172)","14,267","(+/-2,832)","17,741","(+/-2,998)","9,509","(+/-2,049)","11,018","(+/-2,210)","15,892","(+/-2,793)","8,100","(+/-2,166)"
People,"Residence 1 Year Ago",Abroad,"3,664","(+/-1,074)","2,375","(+/-1,276)","4,544","(+/-2,368)","2,731","(+/-1,195)","5,627","(+/-2,223)","6,482","(+/-2,102)","6,980","(+/-1,741)","6,835","(+/-2,197)","6,804","(+/-1,667)","7,835","(+/-1,858)","4,307","(+/-1,594)","15,842","(+/-4,254)","12,273","(+/-4,038)","5,320","(+/-1,677)","7,097","(+/-2,457)","7,101","(+/-2,601)","4,202","(+/-1,707)","4,165","(+/-2,215)","3,644","(+/-1,196)","2,724","(+/-1,180)","2,959",(+/-943),"2,591",(+/-847),"2,311",(+/-928),"1,499",(+/-602),"3,867","(+/-1,016)","4,266","(+/-1,393)"
Workers,"Employment Status","Population 16 years and over","643,694","(+/-8,924)","633,320","(+/-10,424)","638,769","(+/-12,314)","625,018","(+/-6,638)","613,903","(+/-14,509)","621,592","(+/-15,852)","579,469","(+/-14,439)","608,491","(+/-15,548)","598,652","(+/-12,380)","593,630","(+/-16,231)","600,583","(+/-11,159)","626,263","(+/-15,156)","630,838","(+/-13,971)","587,450","(+/-17,375)","573,136","(+/-13,723)","614,556","(+/-7,960)","606,388","(+/-5,985)","639,439","(+/-5,038)","652,650","(+/-4,319)","653,644","(+/-3,175)","644,261","(+/-4,620)","624,121","(+/-1,177)","632,775","(+/-5,394)","640,270","(+/-4,220)","633,068","(+/-2,095)","638,261","(+/-6,163)"
Workers,"Employment Status","In labor force","412,981","(+/-9,352)","428,686","(+/-9,826)","407,350","(+/-10,797)","410,771","(+/-7,684)","375,630","(+/-11,368)","392,491","(+/-12,279)","411,204","(+/-13,656)","351,745","(+/-11,696)","384,242","(+/-11,181)","411,256","(+/-14,192)","365,152","(+/-8,521)","442,059","(+/-12,886)","385,409","(+/-11,994)","364,387","(+/-13,462)","326,576","(+/-11,745)","398,365","(+/-7,721)","383,126","(+/-7,148)","390,544","(+/-6,273)","378,259","(+/-5,864)","420,210","(+/-6,823)","373,666","(+/-5,730)","379,550","(+/-5,270)","371,724","(+/-7,818)","381,080","(+/-5,714)","401,207","(+/-6,265)","397,334","(+/-7,896)"
Workers,"Employment Status","Civilian labor force","412,806","(+/-9,409)","428,382","(+/-9,840)","406,507","(+/-10,673)","410,387","(+/-7,617)","375,207","(+/-11,341)","392,310","(+/-12,300)","411,004","(+/-13,655)","351,494","(+/-11,701)","383,771","(+/-11,146)","411,041","(+/-14,207)","364,016","(+/-8,419)","442,054","(+/-12,886)","384,561","(+/-12,012)","364,179","(+/-13,460)","326,368","(+/-11,813)","397,640","(+/-7,608)","382,892","(+/-7,137)","386,371","(+/-6,342)","378,177","(+/-5,867)","418,721","(+/-7,005)","363,696","(+/-5,590)","378,368","(+/-5,345)","371,564","(+/-7,819)","378,188","(+/-5,709)","401,207","(+/-6,265)","396,665","(+/-7,938)"
Workers,"Employment Status",Employed,"397,449","(+/-9,347)","411,479","(+/-9,101)","391,861","(+/-10,519)","391,972","(+/-7,886)","350,160","(+/-10,877)","375,423","(+/-12,155)","390,421","(+/-13,621)","322,793","(+/-10,926)","354,196","(+/-10,618)","391,526","(+/-13,271)","345,828","(+/-8,472)","423,681","(+/-12,130)","350,152","(+/-11,804)","337,623","(+/-12,713)","294,194","(+/-11,515)","378,736","(+/-7,802)","364,834","(+/-6,643)","370,161","(+/-5,970)","362,540","(+/-5,979)","397,486","(+/-7,208)","350,922","(+/-5,587)","363,906","(+/-5,722)","355,035","(+/-7,915)","361,663","(+/-5,736)","383,040","(+/-6,453)","383,257","(+/-8,296)"
Workers,"Employment Status",Unemployed,"15,357","(+/-2,048)","16,903","(+/-2,708)","14,646","(+/-2,449)","18,415","(+/-2,436)","25,047","(+/-2,893)","16,887","(+/-2,565)","20,583","(+/-3,110)","28,701","(+/-3,533)","29,575","(+/-3,801)","19,515","(+/-3,090)","18,188","(+/-2,406)","18,373","(+/-3,358)","34,409","(+/-5,333)","26,556","(+/-3,709)","32,174","(+/-3,883)","18,904","(+/-2,873)","18,058","(+/-2,420)","16,210","(+/-2,524)","15,637","(+/-1,998)","21,235","(+/-3,276)","12,774","(+/-1,696)","14,462","(+/-1,847)","16,529","(+/-2,245)","16,525","(+/-2,059)","18,167","(+/-2,600)","13,408","(+/-2,197)"
Workers,"Employment Status","Armed Forces",175,(+/-267),304,(+/-228),843,(+/-674),384,(+/-316),423,(+/-350),181,(+/-213),200,(+/-207),251,(+/-273),471,(+/-382),215,(+/-191),"1,136",(+/-770),5,(+/-2),848,(+/-848),208,(+/-276),208,(+/-384),725,(+/-521),234,(+/-237),"4,173",(+/-785),82,(+/-80),"1,489",(+/-992),"9,970","(+/-1,612)","1,182",(+/-702),160,(+/-147),"2,892",(+/-998),0,(+/-217),669,(+/-374)
Workers,"Employment Status","Not in labor force","230,713","(+/-7,294)","204,634","(+/-8,039)","231,419","(+/-6,911)","214,247","(+/-6,603)","238,273","(+/-8,535)","229,101","(+/-8,878)","168,265","(+/-8,040)","256,746","(+/-10,972)","214,410","(+/-8,573)","182,374","(+/-8,384)","235,431","(+/-8,024)","184,204","(+/-8,588)","245,429","(+/-10,781)","223,063","(+/-9,887)","246,560","(+/-11,011)","216,191","(+/-6,972)","223,262","(+/-5,504)","248,895","(+/-6,472)","274,391","(+/-5,446)","233,434","(+/-6,580)","270,595","(+/-5,248)","244,571","(+/-5,161)","261,051","(+/-6,532)","259,190","(+/-4,586)","231,861","(+/-6,800)","240,927","(+/-6,894)"
Workers,"Employment Status","Civilian labor force","412,806","(+/-9,409)","428,382","(+/-9,840)","406,507","(+/-10,673)","410,387","(+/-7,617)","375,207","(+/-11,341)","392,310","(+/-12,300)","411,004","(+/-13,655)","351,494","(+/-11,701)","383,771","(+/-11,146)","411,041","(+/-14,207)","364,016","(+/-8,419)","442,054","(+/-12,886)","384,561","(+/-12,012)","364,179","(+/-13,460)","326,368","(+/-11,813)","397,640","(+/-7,608)","382,892","(+/-7,137)","386,371","(+/-6,342)","378,177","(+/-5,867)","418,721","(+/-7,005)","363,696","(+/-5,590)","378,368","(+/-5,345)","371,564","(+/-7,819)","378,188","(+/-5,709)","401,207","(+/-6,265)","396,665","(+/-7,938)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.5),3.9,(+/-0.6),3.6,(+/-0.6),4.5,(+/-0.6),6.7,(+/-0.7),4.3,(+/-0.6),5.0,(+/-0.8),8.2,(+/-0.9),7.7,(+/-0.9),4.7,(+/-0.7),5.0,(+/-0.7),4.2,(+/-0.7),8.9,(+/-1.3),7.3,(+/-1.0),9.9,(+/-1.2),4.8,(+/-0.7),4.7,(+/-0.6),4.2,(+/-0.6),4.1,(+/-0.5),5.1,(+/-0.8),3.5,(+/-0.5),3.8,(+/-0.5),4.4,(+/-0.6),4.4,(+/-0.5),4.5,(+/-0.6),3.4,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","389,142","(+/-9,689)","403,480","(+/-9,069)","385,788","(+/-10,511)","381,622","(+/-8,041)","337,469","(+/-10,800)","365,426","(+/-12,144)","381,972","(+/-13,499)","315,669","(+/-10,719)","343,691","(+/-10,537)","382,424","(+/-13,258)","339,234","(+/-8,519)","418,049","(+/-12,063)","341,815","(+/-11,453)","329,786","(+/-12,705)","281,778","(+/-11,636)","371,340","(+/-8,246)","358,636","(+/-6,505)","364,350","(+/-5,974)","354,865","(+/-6,186)","390,408","(+/-7,188)","353,806","(+/-5,349)","355,520","(+/-6,065)","346,165","(+/-7,795)","356,689","(+/-6,094)","376,714","(+/-6,471)","374,052","(+/-7,920)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","269,842","(+/-8,773)","298,366","(+/-8,816)","226,762","(+/-8,804)","229,747","(+/-8,118)","134,617","(+/-7,016)","104,594","(+/-7,098)","61,485","(+/-6,060)","77,663","(+/-5,160)","70,747","(+/-5,225)","27,415","(+/-4,149)","142,295","(+/-5,712)","20,971","(+/-3,427)","32,844","(+/-3,506)","89,557","(+/-6,906)","54,816","(+/-5,724)","178,580","(+/-8,455)","225,176","(+/-7,382)","247,517","(+/-6,568)","246,315","(+/-6,290)","272,136","(+/-9,153)","267,058","(+/-6,047)","258,188","(+/-5,784)","263,587","(+/-7,462)","274,742","(+/-6,553)","273,548","(+/-8,186)","260,714","(+/-7,720)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,064","(+/-3,252)","33,877","(+/-4,465)","33,700","(+/-4,415)","29,387","(+/-3,833)","19,401","(+/-2,657)","25,764","(+/-3,700)","11,449","(+/-2,596)","11,664","(+/-2,367)","17,052","(+/-3,023)","10,536","(+/-2,525)","28,364","(+/-4,055)","3,398","(+/-1,319)","6,982","(+/-1,977)","17,695","(+/-3,419)","11,794","(+/-2,488)","28,098","(+/-4,306)","26,506","(+/-3,556)","30,098","(+/-3,220)","32,232","(+/-3,445)","30,256","(+/-3,873)","31,377","(+/-3,009)","26,406","(+/-3,102)","30,679","(+/-3,185)","33,850","(+/-3,139)","25,105","(+/-3,025)","30,908","(+/-4,234)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","18,247","(+/-2,279)","17,907","(+/-2,279)","53,097","(+/-3,164)","53,963","(+/-5,702)","129,928","(+/-6,896)","158,146","(+/-8,551)","176,781","(+/-8,507)","147,498","(+/-8,123)","164,544","(+/-7,391)","152,940","(+/-7,227)","104,990","(+/-6,922)","160,288","(+/-8,483)","197,599","(+/-9,545)","161,335","(+/-9,495)","152,945","(+/-8,936)","77,000","(+/-5,339)","24,882","(+/-3,448)","15,624","(+/-2,271)","7,693","(+/-1,336)","11,313","(+/-2,422)","1,469",(+/-528),"6,670","(+/-1,250)","1,953",(+/-614),"1,341",(+/-422),"5,612","(+/-1,353)","14,355","(+/-2,691)"
Workers,"Commuting to Work",Walked,"6,936","(+/-1,516)","3,875","(+/-1,261)","5,734","(+/-1,453)","9,224","(+/-2,030)","14,265","(+/-2,311)","22,969","(+/-2,882)","26,649","(+/-2,989)","21,779","(+/-3,450)","28,119","(+/-3,034)","66,799","(+/-5,434)","14,696","(+/-1,838)","84,066","(+/-5,619)","35,662","(+/-4,353)","20,163","(+/-2,691)","24,995","(+/-3,969)","17,146","(+/-2,823)","9,144","(+/-1,497)","13,057","(+/-1,880)","19,279","(+/-2,364)","12,227","(+/-2,365)","13,559","(+/-1,895)","13,415","(+/-2,104)","10,647","(+/-1,729)","10,133","(+/-1,467)","9,902","(+/-1,601)","11,312","(+/-1,903)"
Workers,"Commuting to Work","Other means","5,275","(+/-1,239)","10,117","(+/-2,836)","6,199","(+/-1,740)","9,070","(+/-2,229)","9,386","(+/-1,880)","12,584","(+/-2,898)","21,257","(+/-2,869)","11,818","(+/-2,153)","14,140","(+/-2,619)","26,341","(+/-3,229)","6,581","(+/-1,615)","25,335","(+/-3,706)","19,636","(+/-3,329)","9,888","(+/-1,848)","12,855","(+/-3,081)","13,907","(+/-2,936)","6,552","(+/-1,627)","7,172","(+/-2,030)","5,172","(+/-1,264)","5,460","(+/-1,706)","6,198","(+/-1,705)","5,399","(+/-1,254)","5,143","(+/-1,735)","4,988","(+/-1,191)","5,839",(+/-979),"7,223","(+/-1,477)"
Workers,"Commuting to Work","Worked from home","61,778","(+/-4,582)","39,338","(+/-3,295)","60,296","(+/-4,618)","50,231","(+/-4,853)","29,872","(+/-3,461)","41,369","(+/-4,195)","84,351","(+/-5,537)","45,247","(+/-4,642)","49,089","(+/-4,981)","98,393","(+/-6,411)","42,308","(+/-4,552)","123,991","(+/-7,996)","49,092","(+/-4,762)","31,148","(+/-3,666)","24,373","(+/-3,698)","56,609","(+/-4,985)","66,376","(+/-4,719)","50,882","(+/-3,692)","44,174","(+/-3,187)","59,016","(+/-3,894)","34,145","(+/-2,736)","45,442","(+/-3,225)","34,156","(+/-3,208)","31,635","(+/-3,163)","56,708","(+/-3,776)","49,540","(+/-3,199)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",32.4,(+/-0.9),30.5,(+/-0.9),36.6,(+/-0.8),38.4,(+/-1.2),46.8,(+/-0.9),43.2,(+/-0.8),39.5,(+/-0.8),43.8,(+/-1.2),43.4,(+/-1.0),32.5,(+/-0.8),43.6,(+/-1.1),28.6,(+/-0.8),39.3,(+/-1.1),43.7,(+/-1.2),42.6,(+/-1.3),34.3,(+/-1.0),34.9,(+/-1.2),31.5,(+/-1.1),23.2,(+/-0.7),24.2,(+/-0.8),23.9,(+/-0.7),20.6,(+/-0.6),22.7,(+/-0.7),23.9,(+/-0.5),19.9,(+/-0.6),20.6,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","397,449","(+/-9,347)","411,479","(+/-9,101)","391,861","(+/-10,519)","391,972","(+/-7,886)","350,160","(+/-10,877)","375,423","(+/-12,155)","390,421","(+/-13,621)","322,793","(+/-10,926)","354,196","(+/-10,618)","391,526","(+/-13,271)","345,828","(+/-8,472)","423,681","(+/-12,130)","350,152","(+/-11,804)","337,623","(+/-12,713)","294,194","(+/-11,515)","378,736","(+/-7,802)","364,834","(+/-6,643)","370,161","(+/-5,970)","362,540","(+/-5,979)","397,486","(+/-7,208)","350,922","(+/-5,587)","363,906","(+/-5,722)","355,035","(+/-7,915)","361,663","(+/-5,736)","383,040","(+/-6,453)","383,257","(+/-8,296)"
Workers,Occupation,"Management, business, science, and arts occupations","190,815","(+/-7,032)","164,247","(+/-8,335)","214,598","(+/-7,929)","175,144","(+/-6,227)","121,450","(+/-6,596)","149,014","(+/-7,450)","198,604","(+/-7,269)","133,586","(+/-6,022)","159,068","(+/-6,945)","252,842","(+/-12,031)","142,198","(+/-7,112)","320,005","(+/-10,884)","145,307","(+/-7,843)","112,484","(+/-6,717)","84,508","(+/-5,831)","190,946","(+/-7,795)","197,734","(+/-6,759)","162,899","(+/-5,891)","160,074","(+/-6,107)","193,748","(+/-7,075)","139,536","(+/-4,753)","165,102","(+/-5,743)","147,915","(+/-5,386)","133,595","(+/-4,691)","188,443","(+/-5,919)","165,154","(+/-7,159)"
Workers,Occupation,"Service occupations","65,086","(+/-5,191)","75,043","(+/-4,944)","49,956","(+/-4,669)","73,928","(+/-6,286)","85,882","(+/-5,345)","88,830","(+/-5,806)","68,749","(+/-5,801)","76,307","(+/-5,401)","72,287","(+/-5,934)","53,815","(+/-4,063)","71,065","(+/-4,995)","30,632","(+/-3,864)","96,793","(+/-6,955)","91,696","(+/-6,380)","103,599","(+/-8,032)","70,675","(+/-5,439)","53,475","(+/-4,685)","63,690","(+/-4,472)","63,986","(+/-3,960)","65,474","(+/-4,631)","65,320","(+/-3,632)","60,073","(+/-3,886)","61,885","(+/-3,747)","62,244","(+/-3,584)","59,105","(+/-4,386)","68,260","(+/-4,355)"
Workers,Occupation,"Sales and office occupations","82,259","(+/-4,782)","86,248","(+/-4,741)","81,684","(+/-5,159)","79,189","(+/-6,168)","70,257","(+/-5,578)","65,473","(+/-4,813)","67,458","(+/-5,405)","60,468","(+/-6,048)","68,149","(+/-4,311)","56,329","(+/-3,846)","68,632","(+/-4,972)","62,357","(+/-6,539)","64,971","(+/-5,710)","60,367","(+/-4,757)","53,955","(+/-5,629)","67,706","(+/-4,750)","67,081","(+/-4,221)","77,615","(+/-4,330)","64,802","(+/-3,442)","83,631","(+/-5,317)","63,615","(+/-3,998)","72,969","(+/-3,525)","67,073","(+/-3,872)","72,486","(+/-3,686)","74,468","(+/-4,573)","82,844","(+/-4,687)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","30,614","(+/-2,920)","37,899","(+/-4,482)","20,928","(+/-2,787)","28,786","(+/-3,760)","27,847","(+/-3,317)","30,350","(+/-4,328)","19,943","(+/-2,898)","18,657","(+/-2,706)","18,179","(+/-3,488)","12,088","(+/-2,918)","24,928","(+/-3,005)","3,374","(+/-1,516)","13,110","(+/-2,628)","30,955","(+/-3,514)","14,971","(+/-2,984)","22,673","(+/-2,984)","24,719","(+/-2,375)","29,930","(+/-3,326)","32,090","(+/-2,894)","19,980","(+/-2,720)","36,742","(+/-2,861)","23,374","(+/-2,713)","28,593","(+/-2,575)","39,369","(+/-2,737)","18,474","(+/-2,367)","24,681","(+/-2,741)"
Workers,Occupation,"Production, transportation, and material moving occupations","28,675","(+/-3,563)","48,042","(+/-4,134)","24,695","(+/-2,871)","34,925","(+/-3,826)","44,724","(+/-4,113)","41,756","(+/-3,980)","35,667","(+/-4,733)","33,775","(+/-3,804)","36,513","(+/-4,408)","16,452","(+/-2,462)","39,005","(+/-3,838)","7,313","(+/-2,268)","29,971","(+/-5,210)","42,121","(+/-4,621)","37,161","(+/-5,012)","26,736","(+/-3,725)","21,825","(+/-2,584)","36,027","(+/-3,570)","41,588","(+/-3,231)","34,653","(+/-3,718)","45,709","(+/-3,457)","42,388","(+/-3,634)","49,569","(+/-3,238)","53,969","(+/-3,869)","42,550","(+/-3,419)","42,318","(+/-3,674)"
Workers,Industry,"Civilian employed population 16 years and over","397,449","(+/-9,347)","411,479","(+/-9,101)","391,861","(+/-10,519)","391,972","(+/-7,886)","350,160","(+/-10,877)","375,423","(+/-12,155)","390,421","(+/-13,621)","322,793","(+/-10,926)","354,196","(+/-10,618)","391,526","(+/-13,271)","345,828","(+/-8,472)","423,681","(+/-12,130)","350,152","(+/-11,804)","337,623","(+/-12,713)","294,194","(+/-11,515)","378,736","(+/-7,802)","364,834","(+/-6,643)","370,161","(+/-5,970)","362,540","(+/-5,979)","397,486","(+/-7,208)","350,922","(+/-5,587)","363,906","(+/-5,722)","355,035","(+/-7,915)","361,663","(+/-5,736)","383,040","(+/-6,453)","383,257","(+/-8,296)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","1,694",(+/-910),906,(+/-474),565,(+/-327),107,(+/-118),343,(+/-371),155,(+/-133),87,(+/-105),76,(+/-129),203,(+/-178),289,(+/-251),205,(+/-196),"1,860","(+/-2,305)",110,(+/-136),511,(+/-581),183,(+/-218),688,(+/-442),"1,172",(+/-531),"3,555","(+/-1,267)","8,367","(+/-1,870)","1,299",(+/-471),"8,786","(+/-1,570)","3,060",(+/-847),"5,041",(+/-922),"11,037","(+/-1,723)","1,775",(+/-860),"1,413",(+/-717)
Workers,Industry,Construction,"28,714","(+/-2,658)","35,895","(+/-4,578)","20,801","(+/-2,559)","26,794","(+/-3,371)","23,343","(+/-3,158)","27,626","(+/-4,077)","17,392","(+/-2,812)","14,862","(+/-2,623)","16,150","(+/-3,188)","11,248","(+/-2,491)","21,328","(+/-3,051)","4,607","(+/-1,667)","11,604","(+/-2,284)","26,223","(+/-3,093)","14,429","(+/-3,054)","22,115","(+/-3,051)","25,619","(+/-3,086)","22,153","(+/-2,560)","23,101","(+/-2,822)","18,356","(+/-2,715)","29,299","(+/-2,488)","19,841","(+/-2,245)","23,403","(+/-2,554)","28,195","(+/-2,567)","15,438","(+/-2,108)","17,139","(+/-2,084)"
