Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Business,"Annual payroll ($1,000)","Transportation and warehousing","571,658",G,"568,440",G,"1,175,851",G,"257,586",G,"412,769",G,"539,842",G
Business,"Annual payroll ($1,000)",Information,"1,976,972",G,"246,058",G,"214,100",G,"157,507",G,"232,006",G,"697,785",G
Business,"Annual payroll ($1,000)","Finance and insurance","2,470,064",G,"568,938",G,"520,412",G,"610,039",G,"701,750",G,"948,497",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","583,283",G,"178,477",G,"256,792",G,"154,948",G,"170,783",G,"290,034",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","4,667,074",G,"550,561",G,"716,062",G,"698,800",G,"771,661",G,"1,044,046",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","4,741,292",H,"422,909",H,"489,524",H,"700,877",H,"207,766",G,"249,702",G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","982,253",G,"476,790",G,"514,716",G,"470,805",G,"509,221",G,"856,201",G
Business,"Annual payroll ($1,000)","Educational services","384,199",G,"105,242",G,"268,497",H,"73,914",G,"134,650",H,"215,001",H
Business,"Annual payroll ($1,000)","Health care and social assistance","3,663,711",G,"2,574,056",G,"2,775,452",G,"2,683,134",G,"2,084,659",H,"2,206,334",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","190,603",G,"98,179",G,"120,102",G,"113,982",G,"67,423",H,"203,012",H
Business,"Annual payroll ($1,000)","Accommodation and food services","919,989",G,"711,929",G,"729,096",G,"615,906",G,"460,517",G,"601,986",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","695,006",G,"309,183",G,"506,798",G,"286,400",G,"310,482",G,"396,262",G
Business,"Annual payroll ($1,000)","Industries not classified",998,G,"1,032",G,983,G,561,G,599,G,672,G
Business,"Total Establishments","Total for all sectors","22,927",X,"22,251",X,"19,466",X,"18,315",X,"17,439",X,"19,626",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",138,X,387,X,36,X,458,X,169,X,180,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",11,X,44,X,7,X,29,X,16,X,16,X
Business,"Total Establishments",Utilities,44,X,111,X,51,X,29,X,34,X,31,X
Business,"Total Establishments",Construction,"1,948",X,"3,054",X,"2,083",X,"2,123",X,"2,729",X,"2,584",X
Business,"Total Establishments",Manufacturing,826,X,950,X,887,X,824,X,805,X,"1,036",X
Business,"Total Establishments","Wholesale trade",863,X,795,X,878,X,582,X,775,X,993,X
Business,"Total Establishments","Retail trade","2,245",X,"2,994",X,"2,281",X,"2,447",X,"1,763",X,"2,172",X
Business,"Total Establishments","Transportation and warehousing",463,X,738,X,778,X,468,X,522,X,489,X
Business,"Total Establishments",Information,570,X,415,X,373,X,346,X,285,X,328,X
Business,"Total Establishments","Finance and insurance","1,154",X,"1,036",X,619,X,873,X,994,X,"1,171",X
Business,"Total Establishments","Real estate and rental and leasing","1,598",X,"1,296",X,"1,097",X,"1,084",X,"1,087",X,"1,103",X
Business,"Total Establishments","Professional, scientific, and technical services","3,570",X,"1,926",X,"2,010",X,"1,616",X,"1,926",X,"1,996",X
Business,"Total Establishments","Management of companies and enterprises",168,X,89,X,84,X,84,X,80,X,147,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,132",X,"1,132",X,961,X,886,X,943,X,"1,188",X
Business,"Total Establishments","Educational services",419,X,245,X,324,X,218,X,211,X,260,X
Business,"Total Establishments","Health care and social assistance","2,836",X,"2,602",X,"2,679",X,"2,310",X,"1,930",X,"2,476",X
Business,"Total Establishments","Arts, entertainment, and recreation",440,X,375,X,371,X,292,X,290,X,276,X
Business,"Total Establishments","Accommodation and food services","2,482",X,"2,199",X,"2,207",X,"2,009",X,"1,383",X,"1,600",X
Business,"Total Establishments","Other services (except public administration)","1,991",X,"1,830",X,"1,717",X,"1,618",X,"1,477",X,"1,562",X
Business,"Total Establishments","Industries not classified",29,X,33,X,23,X,19,X,20,X,18,X

"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
