Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
Workers,"Class of Worker","Government workers","50,795","(+/-4,104)","48,593","(+/-3,970)","58,908","(+/-3,605)","45,477","(+/-3,095)","49,245","(+/-4,020)","41,285","(+/-3,928)","49,099","(+/-4,233)","43,520","(+/-3,742)","50,344","(+/-3,349)","57,667","(+/-3,637)","46,840","(+/-4,086)","54,077","(+/-3,842)","44,536","(+/-3,497)","44,315","(+/-3,816)","54,384","(+/-4,280)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","17,620","(+/-2,771)","23,101","(+/-2,501)","19,282","(+/-2,594)","18,277","(+/-2,394)","19,502","(+/-2,243)","18,252","(+/-2,112)","19,105","(+/-2,481)","19,344","(+/-2,921)","20,762","(+/-2,235)","19,029","(+/-2,597)","13,600","(+/-1,863)","21,197","(+/-2,595)","17,871","(+/-2,385)","23,476","(+/-3,189)","18,428","(+/-2,595)"
Workers,"Class of Worker","Unpaid family workers",617,(+/-441),272,(+/-274),472,(+/-408),504,(+/-311),384,(+/-263),672,(+/-390),743,(+/-412),584,(+/-427),802,(+/-443),326,(+/-368),163,(+/-169),702,(+/-506),121,(+/-112),515,(+/-323),512,(+/-414)
Housing,"Housing Occupancy","Total housing units","356,032","(+/-3,118)","342,711","(+/-1,021)","361,205","(+/-5,025)","339,086","(+/-1,637)","344,926","(+/-1,404)","364,477","(+/-2,792)","334,703","(+/-4,258)","325,645","(+/-3,386)","373,193","(+/-1,396)","362,902","(+/-1,356)","405,894","(+/-4,158)","329,272","(+/-2,176)","358,609","(+/-2,177)","355,631",(+/-329),"338,941","(+/-5,432)"
Housing,"Housing Occupancy","Occupied housing units","332,048","(+/-3,638)","309,414","(+/-3,922)","332,034","(+/-6,112)","314,596","(+/-3,538)","320,344","(+/-3,363)","328,031","(+/-4,193)","320,053","(+/-4,515)","310,751","(+/-4,100)","339,158","(+/-3,236)","336,268","(+/-3,427)","354,624","(+/-4,871)","304,917","(+/-3,451)","333,558","(+/-3,899)","323,876","(+/-3,923)","318,534","(+/-5,724)"
Housing,"Housing Occupancy","Vacant housing units","23,984","(+/-2,976)","33,297","(+/-3,797)","29,171","(+/-3,162)","24,490","(+/-3,183)","24,582","(+/-3,210)","36,446","(+/-3,794)","14,650","(+/-2,563)","14,894","(+/-2,502)","34,035","(+/-3,119)","26,634","(+/-3,066)","51,270","(+/-3,522)","24,355","(+/-2,803)","25,051","(+/-3,449)","31,755","(+/-3,909)","20,407","(+/-3,093)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.3,(+/-0.3),0.6,(+/-0.3),0.9,(+/-0.4),0.4,(+/-0.2),0.5,(+/-0.3),0.9,(+/-0.3),0.9,(+/-0.4),0.8,(+/-0.4),0.6,(+/-0.3),1.6,(+/-0.5),1.2,(+/-0.4),0.5,(+/-0.3),0.5,(+/-0.3),0.3,(+/-0.2),0.3,(+/-0.2)
Housing,"Housing Occupancy","Rental vacancy rate",3.5,(+/-1.0),2.4,(+/-1.0),4.6,(+/-1.2),3.8,(+/-1.6),5.6,(+/-1.4),3.7,(+/-1.0),4.4,(+/-1.4),3.6,(+/-1.5),2.6,(+/-1.0),2.5,(+/-0.7),3.6,(+/-1.0),2.8,(+/-1.0),3.8,(+/-1.3),5.7,(+/-1.8),4.0,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units","332,048","(+/-3,638)","309,414","(+/-3,922)","332,034","(+/-6,112)","314,596","(+/-3,538)","320,344","(+/-3,363)","328,031","(+/-4,193)","320,053","(+/-4,515)","310,751","(+/-4,100)","339,158","(+/-3,236)","336,268","(+/-3,427)","354,624","(+/-4,871)","304,917","(+/-3,451)","333,558","(+/-3,899)","323,876","(+/-3,923)","318,534","(+/-5,724)"
Housing,"Housing Tenure",Owner-occupied,"204,904","(+/-4,768)","224,724","(+/-4,974)","165,682","(+/-5,471)","232,036","(+/-4,095)","236,212","(+/-3,874)","234,147","(+/-4,596)","245,411","(+/-4,851)","223,900","(+/-5,008)","233,930","(+/-4,004)","214,081","(+/-5,353)","178,785","(+/-5,698)","221,968","(+/-4,245)","226,120","(+/-5,080)","245,031","(+/-4,146)","198,121","(+/-5,300)"
Housing,"Housing Tenure",Renter-occupied,"127,144","(+/-5,013)","84,690","(+/-4,545)","166,352","(+/-6,401)","82,560","(+/-3,852)","84,132","(+/-3,650)","93,884","(+/-3,898)","74,642","(+/-4,026)","86,851","(+/-4,851)","105,228","(+/-4,359)","122,187","(+/-4,982)","175,839","(+/-6,042)","82,949","(+/-3,683)","107,438","(+/-4,508)","78,845","(+/-3,941)","120,413","(+/-5,350)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.55,(+/-0.04),2.59,(+/-0.04),2.48,(+/-0.06),2.57,(+/-0.03),2.50,(+/-0.03),2.37,(+/-0.04),2.53,(+/-0.04),2.57,(+/-0.04),2.36,(+/-0.03),2.40,(+/-0.04),2.29,(+/-0.05),2.65,(+/-0.04),2.43,(+/-0.04),2.48,(+/-0.04),2.57,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.94,(+/-0.07),2.17,(+/-0.07),2.12,(+/-0.06),2.18,(+/-0.08),2.07,(+/-0.07),2.15,(+/-0.08),1.88,(+/-0.07),2.20,(+/-0.10),2.03,(+/-0.06),1.99,(+/-0.06),1.93,(+/-0.05),2.20,(+/-0.09),2.01,(+/-0.06),2.02,(+/-0.06),2.19,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","332,048","(+/-3,638)","309,414","(+/-3,922)","332,034","(+/-6,112)","314,596","(+/-3,538)","320,344","(+/-3,363)","328,031","(+/-4,193)","320,053","(+/-4,515)","310,751","(+/-4,100)","339,158","(+/-3,236)","336,268","(+/-3,427)","354,624","(+/-4,871)","304,917","(+/-3,451)","333,558","(+/-3,899)","323,876","(+/-3,923)","318,534","(+/-5,724)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","67,529","(+/-5,072)","43,973","(+/-3,220)","84,856","(+/-5,208)","47,267","(+/-3,454)","42,272","(+/-3,353)","39,799","(+/-3,528)","45,307","(+/-3,148)","43,996","(+/-4,687)","50,374","(+/-3,843)","62,233","(+/-4,140)","70,412","(+/-4,441)","41,936","(+/-3,624)","53,001","(+/-4,317)","47,724","(+/-3,778)","60,581","(+/-4,499)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","76,657","(+/-5,379)","61,844","(+/-4,448)","84,058","(+/-4,637)","63,813","(+/-3,964)","65,868","(+/-3,978)","59,164","(+/-3,813)","63,548","(+/-4,238)","64,907","(+/-5,558)","74,322","(+/-4,065)","73,325","(+/-4,730)","83,511","(+/-5,311)","67,473","(+/-4,109)","72,028","(+/-4,073)","60,574","(+/-4,148)","80,788","(+/-4,673)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","80,874","(+/-4,827)","74,880","(+/-3,733)","79,258","(+/-5,005)","84,180","(+/-4,328)","75,461","(+/-4,348)","78,373","(+/-4,265)","72,937","(+/-3,372)","79,227","(+/-4,893)","83,506","(+/-4,268)","82,141","(+/-4,516)","80,254","(+/-4,697)","75,935","(+/-3,914)","75,912","(+/-4,157)","75,011","(+/-4,490)","80,391","(+/-4,296)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","50,193","(+/-3,778)","54,001","(+/-3,673)","38,686","(+/-2,601)","51,380","(+/-3,201)","54,719","(+/-3,208)","56,136","(+/-3,399)","57,405","(+/-3,377)","54,512","(+/-4,042)","55,405","(+/-3,317)","51,883","(+/-2,874)","48,697","(+/-3,494)","54,645","(+/-2,850)","52,686","(+/-3,778)","53,806","(+/-3,720)","47,952","(+/-3,644)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","29,991","(+/-2,629)","35,268","(+/-2,554)","21,265","(+/-2,171)","33,928","(+/-2,269)","36,487","(+/-2,207)","39,144","(+/-3,032)","41,391","(+/-2,713)","33,268","(+/-2,660)","36,711","(+/-2,422)","32,561","(+/-2,481)","28,507","(+/-2,378)","31,299","(+/-2,054)","36,057","(+/-2,607)","38,989","(+/-2,476)","26,579","(+/-2,579)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","26,804","(+/-2,411)","39,448","(+/-3,025)","23,911","(+/-2,231)","34,028","(+/-2,253)","45,537","(+/-2,708)","55,415","(+/-3,726)","39,465","(+/-2,891)","34,841","(+/-2,362)","38,840","(+/-2,579)","34,125","(+/-2,358)","43,243","(+/-2,858)","33,629","(+/-2,475)","43,874","(+/-2,646)","47,772","(+/-2,600)","22,243","(+/-2,272)"
Housing,Value,"Owner-occupied units","204,904","(+/-4,768)","224,724","(+/-4,974)","165,682","(+/-5,471)","232,036","(+/-4,095)","236,212","(+/-3,874)","234,147","(+/-4,596)","245,411","(+/-4,851)","223,900","(+/-5,008)","233,930","(+/-4,004)","214,081","(+/-5,353)","178,785","(+/-5,698)","221,968","(+/-4,245)","226,120","(+/-5,080)","245,031","(+/-4,146)","198,121","(+/-5,300)"
Housing,Value,"Less than $50,000","4,015","(+/-1,133)","23,320","(+/-2,479)","5,480","(+/-1,308)","16,105","(+/-2,061)","16,290","(+/-2,272)","25,978","(+/-2,175)","7,054","(+/-1,120)","10,442","(+/-1,553)","22,051","(+/-2,347)","13,317","(+/-1,731)","17,539","(+/-2,041)","15,419","(+/-2,004)","13,152","(+/-2,137)","18,299","(+/-2,188)","9,813","(+/-1,604)"
Housing,Value,"$50,000 to $99,999","12,140","(+/-2,145)","27,413","(+/-2,878)","7,950","(+/-1,332)","26,811","(+/-2,522)","31,553","(+/-2,230)","42,079","(+/-2,968)","9,714","(+/-1,503)","19,021","(+/-2,289)","35,674","(+/-2,706)","31,577","(+/-3,117)","36,310","(+/-2,623)","19,397","(+/-1,916)","28,610","(+/-2,468)","26,193","(+/-2,671)","12,539","(+/-1,799)"
Housing,Value,"$100,000 to $149,999","17,276","(+/-2,361)","33,411","(+/-3,086)","11,485","(+/-1,598)","30,502","(+/-2,810)","41,185","(+/-2,539)","46,951","(+/-2,936)","30,296","(+/-2,419)","28,021","(+/-2,674)","48,378","(+/-2,848)","34,746","(+/-3,328)","40,415","(+/-3,314)","26,320","(+/-2,280)","36,749","(+/-2,831)","41,683","(+/-2,992)","22,216","(+/-2,288)"
Housing,Value,"$150,000 to $199,999","25,935","(+/-2,549)","37,180","(+/-3,359)","19,372","(+/-1,883)","32,848","(+/-2,588)","44,542","(+/-2,832)","43,762","(+/-3,747)","42,674","(+/-2,772)","40,667","(+/-3,052)","40,733","(+/-3,177)","34,722","(+/-2,736)","26,280","(+/-2,850)","28,121","(+/-2,497)","40,953","(+/-3,792)","44,038","(+/-3,029)","31,630","(+/-2,969)"
Housing,Value,"$200,000 to $299,999","49,278","(+/-3,012)","53,621","(+/-4,088)","44,036","(+/-3,725)","46,221","(+/-3,515)","49,290","(+/-2,960)","44,781","(+/-2,891)","74,544","(+/-3,920)","52,834","(+/-3,087)","47,692","(+/-3,148)","50,958","(+/-2,869)","28,807","(+/-2,543)","52,266","(+/-3,564)","50,445","(+/-3,190)","52,226","(+/-3,181)","52,116","(+/-3,937)"
Housing,Value,"$300,000 to $499,999","58,880","(+/-3,764)","37,353","(+/-2,828)","50,869","(+/-3,540)","52,597","(+/-3,283)","40,530","(+/-2,749)","23,661","(+/-2,217)","59,956","(+/-2,922)","57,561","(+/-3,551)","30,313","(+/-2,196)","38,499","(+/-2,711)","18,210","(+/-2,157)","55,722","(+/-3,045)","41,734","(+/-3,126)","47,968","(+/-3,494)","52,534","(+/-3,128)"
Housing,Value,"$500,000 to $999,999","33,414","(+/-2,684)","11,036","(+/-1,860)","22,374","(+/-2,293)","24,552","(+/-2,391)","11,240","(+/-1,905)","5,824","(+/-1,119)","18,728","(+/-2,008)","13,979","(+/-1,797)","7,951","(+/-1,235)","8,588","(+/-1,350)","9,093","(+/-1,471)","21,074","(+/-2,144)","13,644","(+/-1,681)","12,341","(+/-1,484)","16,073","(+/-1,734)"
Housing,Value,"$1,000,000 or more","3,966",(+/-907),"1,390",(+/-566),"4,116","(+/-1,029)","2,400",(+/-761),"1,582",(+/-528),"1,111",(+/-361),"2,445",(+/-960),"1,375",(+/-822),"1,138",(+/-588),"1,674",(+/-645),"2,131",(+/-725),"3,649","(+/-1,120)",833,(+/-372),"2,283",(+/-773),"1,200",(+/-594)
Housing,Value,"Median (dollars)","285,700","(+/-8,781)","183,800","(+/-7,856)","287,400","(+/-6,993)","219,000","(+/-7,557)","176,400","(+/-4,470)","152,100","(+/-3,303)","241,000","(+/-4,265)","223,300","(+/-5,735)","160,800","(+/-3,078)","188,900","(+/-5,923)","143,400","(+/-4,579)","237,900","(+/-6,243)","190,600","(+/-4,969)","188,700","(+/-5,328)","239,700","(+/-5,228)"
Housing,"Mortgage Status","Owner-occupied units","204,904","(+/-4,768)","224,724","(+/-4,974)","165,682","(+/-5,471)","232,036","(+/-4,095)","236,212","(+/-3,874)","234,147","(+/-4,596)","245,411","(+/-4,851)","223,900","(+/-5,008)","233,930","(+/-4,004)","214,081","(+/-5,353)","178,785","(+/-5,698)","221,968","(+/-4,245)","226,120","(+/-5,080)","245,031","(+/-4,146)","198,121","(+/-5,300)"
Housing,"Mortgage Status","Housing units with a mortgage","140,685","(+/-4,638)","120,867","(+/-4,864)","112,107","(+/-4,826)","141,880","(+/-4,099)","135,946","(+/-4,329)","123,912","(+/-4,575)","148,558","(+/-4,530)","143,338","(+/-4,927)","138,454","(+/-4,577)","128,341","(+/-4,704)","104,661","(+/-5,073)","133,963","(+/-4,282)","138,404","(+/-4,994)","141,193","(+/-4,285)","133,984","(+/-4,800)"
Housing,"Mortgage Status","Housing units without a mortgage","64,219","(+/-3,415)","103,857","(+/-4,464)","53,575","(+/-3,997)","90,156","(+/-3,994)","100,266","(+/-3,695)","110,235","(+/-3,632)","96,853","(+/-3,658)","80,562","(+/-3,809)","95,476","(+/-4,488)","85,740","(+/-4,003)","74,124","(+/-3,821)","88,005","(+/-4,150)","87,716","(+/-4,375)","103,838","(+/-4,114)","64,137","(+/-3,639)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","140,685","(+/-4,638)","120,867","(+/-4,864)","112,107","(+/-4,826)","141,880","(+/-4,099)","135,946","(+/-4,329)","123,912","(+/-4,575)","148,558","(+/-4,530)","143,338","(+/-4,927)","138,454","(+/-4,577)","128,341","(+/-4,704)","104,661","(+/-5,073)","133,963","(+/-4,282)","138,404","(+/-4,994)","141,193","(+/-4,285)","133,984","(+/-4,800)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,843","(+/-1,018)","1,977",(+/-751),"1,282",(+/-619),"2,368",(+/-885),"2,311",(+/-647),"4,458","(+/-1,038)","1,289",(+/-575),"1,502",(+/-581),"2,300",(+/-670),"1,450",(+/-578),"1,394",(+/-476),"1,516",(+/-600),"1,120",(+/-363),"2,181",(+/-659),"1,324",(+/-697)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","16,878","(+/-2,318)","31,340","(+/-3,013)","14,641","(+/-1,998)","32,817","(+/-2,542)","38,479","(+/-2,827)","44,119","(+/-2,966)","19,482","(+/-1,901)","26,517","(+/-2,653)","40,586","(+/-3,328)","31,488","(+/-2,922)","23,521","(+/-2,579)","27,384","(+/-2,387)","34,142","(+/-2,679)","33,142","(+/-2,763)","23,090","(+/-2,359)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","39,917","(+/-3,211)","47,016","(+/-3,502)","29,194","(+/-2,716)","40,693","(+/-2,360)","48,323","(+/-3,062)","43,782","(+/-2,664)","50,131","(+/-3,230)","51,729","(+/-3,444)","49,838","(+/-3,077)","43,249","(+/-3,564)","39,857","(+/-2,786)","43,310","(+/-3,086)","46,953","(+/-3,133)","51,552","(+/-3,475)","48,425","(+/-3,689)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","30,330","(+/-3,085)","22,471","(+/-2,353)","26,888","(+/-2,948)","28,284","(+/-2,577)","23,535","(+/-2,222)","18,784","(+/-1,982)","36,952","(+/-2,975)","34,433","(+/-2,735)","23,027","(+/-2,214)","26,623","(+/-2,313)","19,958","(+/-2,521)","31,240","(+/-2,582)","29,150","(+/-2,773)","27,350","(+/-2,366)","30,475","(+/-2,686)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","20,763","(+/-2,281)","10,164","(+/-1,540)","17,852","(+/-2,121)","14,779","(+/-1,835)","12,102","(+/-1,795)","7,271","(+/-1,400)","19,209","(+/-2,332)","16,102","(+/-2,129)","11,421","(+/-1,645)","13,831","(+/-1,972)","8,759","(+/-1,867)","15,264","(+/-1,968)","14,941","(+/-1,792)","13,847","(+/-2,317)","14,742","(+/-1,967)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","12,326","(+/-1,963)","3,418",(+/-930),"9,455","(+/-1,385)","10,371","(+/-1,844)","4,969",(+/-949),"3,173",(+/-987),"10,163","(+/-1,433)","6,556","(+/-1,536)","5,788","(+/-1,216)","6,072","(+/-1,209)","4,950","(+/-1,020)","7,321","(+/-1,389)","5,305","(+/-1,049)","6,997","(+/-1,333)","9,102","(+/-1,662)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","18,628","(+/-1,872)","4,481","(+/-1,119)","12,795","(+/-1,428)","12,568","(+/-1,718)","6,227","(+/-1,511)","2,325",(+/-634),"11,332","(+/-1,584)","6,499","(+/-1,283)","5,494","(+/-1,162)","5,628","(+/-1,233)","6,222","(+/-1,086)","7,928","(+/-1,301)","6,793","(+/-1,178)","6,124","(+/-1,310)","6,826","(+/-1,286)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,694",(+/-52),"1,260",(+/-33),"1,690",(+/-44),"1,429",(+/-37),"1,243",(+/-27),"1,136",(+/-22),"1,539",(+/-34),"1,414",(+/-28),"1,228",(+/-25),"1,349",(+/-35),"1,310",(+/-43),"1,434",(+/-39),"1,341",(+/-34),"1,342",(+/-25),"1,438",(+/-31)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","64,219","(+/-3,415)","103,857","(+/-4,464)","53,575","(+/-3,997)","90,156","(+/-3,994)","100,266","(+/-3,695)","110,235","(+/-3,632)","96,853","(+/-3,658)","80,562","(+/-3,809)","95,476","(+/-4,488)","85,740","(+/-4,003)","74,124","(+/-3,821)","88,005","(+/-4,150)","87,716","(+/-4,375)","103,838","(+/-4,114)","64,137","(+/-3,639)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","1,889",(+/-725),"11,229","(+/-1,606)","1,661",(+/-670),"6,418","(+/-1,547)","5,948","(+/-1,164)","10,882","(+/-1,743)","3,112",(+/-864),"3,481",(+/-840),"7,204","(+/-1,329)","4,379","(+/-1,109)","4,410",(+/-982),"7,061","(+/-1,117)","4,196","(+/-1,037)","7,301","(+/-1,444)","2,800",(+/-883)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","5,671","(+/-1,116)","23,125","(+/-2,554)","6,477","(+/-1,384)","18,576","(+/-2,075)","22,172","(+/-2,156)","32,305","(+/-2,573)","8,584","(+/-1,360)","12,876","(+/-1,737)","18,920","(+/-1,913)","15,006","(+/-1,870)","12,855","(+/-1,505)","17,644","(+/-2,107)","18,649","(+/-2,323)","18,559","(+/-2,210)","10,294","(+/-1,577)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","20,008","(+/-2,306)","36,959","(+/-3,048)","12,630","(+/-1,892)","29,064","(+/-2,479)","37,681","(+/-2,859)","41,047","(+/-2,844)","30,735","(+/-2,165)","28,858","(+/-2,577)","33,714","(+/-2,389)","28,494","(+/-2,945)","23,200","(+/-2,418)","27,898","(+/-2,330)","32,121","(+/-3,043)","38,817","(+/-2,742)","20,029","(+/-2,127)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","14,459","(+/-1,975)","18,364","(+/-1,893)","11,306","(+/-1,876)","17,845","(+/-2,101)","19,742","(+/-2,014)","16,899","(+/-1,775)","25,113","(+/-2,153)","21,243","(+/-2,397)","19,184","(+/-1,711)","17,954","(+/-1,903)","14,233","(+/-2,044)","18,220","(+/-2,352)","15,688","(+/-1,811)","20,250","(+/-1,932)","13,698","(+/-1,792)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","10,019","(+/-1,583)","6,950","(+/-1,396)","8,726","(+/-1,643)","8,176","(+/-1,415)","8,343","(+/-1,263)","4,909",(+/-977),"16,288","(+/-2,078)","7,711","(+/-1,361)","8,526","(+/-1,504)","10,272","(+/-1,731)","7,297","(+/-1,330)","7,679","(+/-1,409)","9,385","(+/-1,358)","10,079","(+/-1,533)","7,169","(+/-1,372)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","12,173","(+/-1,744)","7,230","(+/-1,136)","12,775","(+/-1,723)","10,077","(+/-1,261)","6,380","(+/-1,309)","4,193",(+/-833),"13,021","(+/-1,644)","6,393","(+/-1,190)","7,928","(+/-1,296)","9,635","(+/-1,275)","12,129","(+/-1,494)","9,503","(+/-1,571)","7,677","(+/-1,418)","8,832","(+/-1,648)","10,147","(+/-1,483)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",657,(+/-22),484,(+/-12),696,(+/-32),535,(+/-17),503,(+/-13),447,(+/-9),644,(+/-15),565,(+/-15),523,(+/-13),569,(+/-15),571,(+/-15),529,(+/-19),519,(+/-17),530,(+/-14),590,(+/-16)
Housing,"Gross Rent","Occupied units paying rent","123,309","(+/-5,035)","75,749","(+/-4,477)","163,481","(+/-6,293)","76,398","(+/-3,894)","78,057","(+/-3,859)","81,427","(+/-3,497)","71,001","(+/-3,957)","82,535","(+/-4,595)","99,919","(+/-4,408)","117,219","(+/-4,721)","168,669","(+/-6,321)","76,517","(+/-3,640)","102,405","(+/-4,389)","74,566","(+/-3,712)","116,172","(+/-5,532)"
Housing,"Gross Rent","Less than $500","13,623","(+/-2,633)","12,723","(+/-2,023)","6,868","(+/-1,246)","8,715","(+/-1,474)","8,891","(+/-1,744)","10,633","(+/-1,572)","2,617",(+/-715),"5,130","(+/-1,366)","11,999","(+/-1,889)","12,348","(+/-1,936)","20,107","(+/-2,102)","8,601","(+/-1,690)","10,908","(+/-1,585)","7,651","(+/-1,532)","6,430","(+/-1,666)"
Housing,"Gross Rent","$500 to $999","51,555","(+/-4,470)","41,216","(+/-3,187)","44,451","(+/-3,747)","37,231","(+/-3,069)","46,348","(+/-2,916)","54,309","(+/-3,151)","33,308","(+/-3,481)","37,684","(+/-3,827)","54,729","(+/-3,977)","52,919","(+/-4,372)","72,416","(+/-4,804)","39,816","(+/-3,122)","49,957","(+/-3,650)","41,014","(+/-3,262)","32,774","(+/-3,156)"
Housing,"Gross Rent","$1,000 to $1,499","33,826","(+/-2,926)","16,910","(+/-2,459)","71,616","(+/-4,792)","21,456","(+/-2,602)","17,958","(+/-2,623)","13,282","(+/-1,996)","23,947","(+/-3,025)","25,913","(+/-3,652)","25,236","(+/-3,042)","38,600","(+/-4,236)","52,472","(+/-4,609)","19,412","(+/-2,228)","34,033","(+/-3,248)","18,452","(+/-2,134)","51,207","(+/-3,717)"
Housing,"Gross Rent","$1,500 to $1,999","12,567","(+/-1,855)","2,852",(+/-875),"30,447","(+/-3,816)","5,379","(+/-1,473)","2,704",(+/-799),"2,094",(+/-800),"7,266","(+/-1,745)","10,345","(+/-2,014)","6,502","(+/-1,348)","9,839","(+/-1,886)","15,537","(+/-2,104)","5,531","(+/-1,344)","4,522","(+/-1,231)","4,569","(+/-1,323)","18,529","(+/-2,887)"
Housing,"Gross Rent","$2,000 to $2,499","6,123","(+/-1,538)","1,607",(+/-773),"6,735","(+/-1,370)","1,446",(+/-679),529,(+/-340),199,(+/-186),"2,291",(+/-896),"1,920",(+/-765),702,(+/-429),"1,706",(+/-885),"4,996","(+/-1,537)",927,(+/-613),"1,463",(+/-832),"1,116",(+/-681),"4,621","(+/-1,209)"
Housing,"Gross Rent","$2,500 to $2,999","3,443","(+/-1,224)",29,(+/-51),"1,736",(+/-745),878,(+/-487),303,(+/-332),258,(+/-218),391,(+/-337),640,(+/-531),531,(+/-424),577,(+/-370),"1,409",(+/-620),"1,269",(+/-693),522,(+/-364),279,(+/-228),"1,429",(+/-803)
Housing,"Gross Rent","$3,000 or more","2,172",(+/-840),412,(+/-228),"1,628",(+/-689),"1,293",(+/-732),"1,324",(+/-543),652,(+/-366),"1,181",(+/-483),903,(+/-497),220,(+/-170),"1,230",(+/-570),"1,732",(+/-598),961,(+/-412),"1,000",(+/-736),"1,485",(+/-719),"1,182",(+/-631)
Housing,"Gross Rent","Median (dollars)",975,(+/-23),796,(+/-26),"1,198",(+/-24),895,(+/-28),833,(+/-23),765,(+/-23),995,(+/-36),987,(+/-27),862,(+/-24),941,(+/-35),956,(+/-19),861,(+/-25),913,(+/-26),883,(+/-23),"1,161",(+/-23)
Housing,"Gross Rent","No rent paid","3,835","(+/-1,327)","8,941","(+/-1,575)","2,871",(+/-893),"6,162","(+/-1,269)","6,075","(+/-1,058)","12,457","(+/-1,579)","3,641",(+/-950),"4,316","(+/-1,040)","5,309","(+/-1,208)","4,968","(+/-1,427)","7,170","(+/-1,777)","6,432","(+/-1,423)","5,033","(+/-1,531)","4,279",(+/-978),"4,241","(+/-1,094)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","332,048","(+/-3,638)","309,414","(+/-3,922)","332,034","(+/-6,112)","314,596","(+/-3,538)","320,344","(+/-3,363)","328,031","(+/-4,193)","320,053","(+/-4,515)","310,751","(+/-4,100)","339,158","(+/-3,236)","336,268","(+/-3,427)","354,624","(+/-4,871)","304,917","(+/-3,451)","333,558","(+/-3,899)","323,876","(+/-3,923)","318,534","(+/-5,724)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","27,221","(+/-3,398)","17,304","(+/-2,559)","20,174","(+/-2,930)","13,777","(+/-1,972)","16,409","(+/-2,104)","21,345","(+/-2,215)","10,584","(+/-1,604)","14,569","(+/-2,456)","23,474","(+/-2,447)","20,332","(+/-2,793)","35,647","(+/-3,449)","16,916","(+/-1,814)","17,592","(+/-2,545)","17,861","(+/-2,384)","13,306","(+/-2,279)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","15,113","(+/-2,435)","18,802","(+/-2,422)","13,703","(+/-2,225)","10,449","(+/-1,751)","12,352","(+/-1,867)","15,924","(+/-2,054)","9,241","(+/-1,731)","9,600","(+/-1,948)","15,227","(+/-1,931)","15,022","(+/-2,024)","25,701","(+/-3,182)","13,646","(+/-1,918)","14,949","(+/-2,210)","13,019","(+/-1,810)","10,494","(+/-1,744)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","18,893","(+/-2,835)","25,771","(+/-3,035)","19,382","(+/-2,074)","22,502","(+/-2,338)","28,447","(+/-3,204)","33,131","(+/-3,360)","19,614","(+/-2,330)","18,245","(+/-2,430)","26,972","(+/-2,841)","23,780","(+/-2,898)","34,027","(+/-3,197)","22,793","(+/-2,407)","26,754","(+/-3,206)","25,232","(+/-2,597)","20,009","(+/-2,560)"
